,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,6.24,0.8216,0.67,27.3618,2.6748
0,20240103,6.18,0.7776,0.6,27.0987,2.649
0,20240104,6.13,0.6052,0.55,26.8794,2.6276
0,20240105,6.01,1.0268,1.09,26.3533,2.5762
0,20240108,5.83,1.0497,1.25,25.564,2.499
0,20240109,5.85,0.7659,0.89,25.6517,2.5076
0,20240110,5.82,0.7128,0.84,25.5201,2.4947
0,20240111,5.93,0.8121,0.98,26.0025,2.5419
0,20240112,5.88,0.5378,0.62,25.7832,2.5204
0,20240115,5.83,0.5743,0.74,25.564,2.499
0,20240116,5.75,0.9215,1.35,25.2132,2.4647
0,20240117,5.59,0.6595,0.93,24.5116,2.3961
0,20240118,5.45,1.1434,1.63,23.8977,2.3361
0,20240119,5.4,0.498,0.65,23.6785,2.3147
0,20240122,5.0,1.4281,1.88,21.9245,2.1432
0,20240123,5.02,0.8955,0.96,22.0122,2.1518
0,20240124,5.14,0.9161,0.99,22.5384,2.2032
0,20240125,5.34,0.9298,0.95,23.4154,2.289
0,20240126,5.3,0.6596,0.71,23.24,2.2718
0,20240129,5.22,0.7391,0.77,22.8892,2.2375
0,20240130,5.02,0.6584,0.8,22.0122,2.1518
0,20240131,4.78,0.9793,1.25,20.9598,2.0489
0,20240201,4.68,0.7712,0.97,20.5213,2.0061
0,20240202,4.42,1.1834,1.55,19.3813,1.8946
0,20240205,4.07,1.5665,1.81,17.8465,1.7446
0,20240206,4.36,1.4796,1.43,19.1182,1.8689
0,20240207,4.8,1.2087,1.01,21.0475,2.0575
0,20240208,5.09,3.6952,2.98,22.3191,2.1818
0,20240219,5.0,2.6651,1.46,21.9245,2.1432
0,20240220,4.94,1.4511,0.68,21.6614,2.1175
0,20240221,5.04,1.5674,0.75,22.0999,2.1604
0,20240222,5.06,1.0707,0.51,22.1876,2.1689
0,20240223,5.12,1.3771,0.66,22.4507,2.1947
0,20240226,5.28,1.7992,1.11,23.1523,2.2633
0,20240227,5.4,1.5174,1.04,23.6785,2.3147
0,20240228,5.1,2.0333,1.39,22.363,2.1861
0,20240229,5.28,1.2484,0.8,23.1523,2.2633
0,20240301,5.32,0.9668,0.61,23.3277,2.2804
0,20240304,5.28,0.7739,0.51,23.1523,2.2633
0,20240305,5.23,1.2208,0.93,22.933,2.2418
0,20240306,5.27,0.8097,0.65,23.1084,2.259
0,20240307,5.34,1.9936,1.99,23.4154,2.289
0,20240308,5.38,1.0486,0.91,23.5908,2.3061
0,20240311,5.47,1.2118,1.04,23.9854,2.3447
0,20240312,5.45,1.0068,0.8,23.8977,2.3361
0,20240313,5.47,0.9795,0.81,23.9854,2.3447
0,20240314,5.45,0.8447,0.68,23.8977,2.3361
0,20240315,5.63,1.5174,1.49,73.6072,2.4345
0,20240318,5.74,1.3981,1.26,75.0453,2.4821
0,20240319,5.74,1.196,1.04,75.0453,2.4821
0,20240320,5.74,0.8406,0.71,75.0453,2.4821
0,20240321,5.79,1.058,0.91,75.6991,2.5037
0,20240322,5.67,1.2064,1.0,74.1302,2.4518
0,20240325,5.58,0.8438,0.74,72.9535,2.4129
0,20240326,5.57,0.8306,0.81,72.8227,2.4086
0,20240327,5.42,0.6903,0.72,70.8616,2.3437
0,20240328,5.56,0.9325,1.01,72.692,2.4043
0,20240329,5.71,0.8583,0.95,74.6531,2.4691
0,20240401,5.77,0.807,0.97,75.4376,2.4951
0,20240402,5.91,1.4786,1.8,77.2679,2.5556
0,20240403,6.0,2.1624,2.27,78.4446,2.5945
