,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,22.0,0.1435,0.77,12.8426,3.1921
0,20240103,21.9,0.1299,0.81,12.7842,3.1776
0,20240104,21.81,0.1195,0.77,12.7317,3.1645
0,20240105,21.8,0.1636,1.08,12.7258,3.1631
0,20240108,21.18,0.1914,1.34,12.3639,3.0731
0,20240109,21.29,0.1731,1.16,12.4281,3.0891
0,20240110,21.47,0.2226,1.43,12.5332,3.1152
0,20240111,21.15,0.2634,1.51,12.3464,3.0688
0,20240112,21.14,0.143,0.7,12.3405,3.0673
0,20240115,21.02,0.1071,0.54,12.2705,3.0499
0,20240116,20.9,0.1478,0.81,12.2004,3.0325
0,20240117,20.82,0.2411,1.36,12.1537,3.0209
0,20240118,20.48,0.2076,1.15,11.9553,2.9716
0,20240119,20.32,0.1162,0.69,11.8619,2.9483
0,20240122,19.26,0.2624,1.6,11.2431,2.7945
0,20240123,19.36,0.1902,0.98,11.3015,2.809
0,20240124,19.69,0.2166,1.06,11.4941,2.8569
0,20240125,20.37,0.2084,1.05,11.8911,2.9556
0,20240126,20.29,0.1976,0.99,11.8444,2.944
0,20240129,20.02,0.1882,0.88,11.6867,2.9048
0,20240130,19.42,0.1921,0.96,11.3365,2.8178
0,20240131,18.97,0.2056,1.03,11.0738,2.7525
0,20240201,18.71,0.2293,1.16,10.922,2.7147
0,20240202,17.67,0.3393,1.68,10.3149,2.5638
0,20240205,16.73,0.4052,1.75,9.7662,2.4274
0,20240206,18.4,0.4406,1.61,10.7411,2.6698
0,20240207,20.24,0.8237,2.54,11.8152,2.9367
0,20240208,21.07,0.9198,2.05,12.2997,3.0572
0,20240219,20.7,0.6846,1.17,12.0837,3.0035
0,20240220,20.92,0.4111,0.63,12.2121,3.0354
0,20240221,20.85,0.4541,0.69,12.1713,3.0252
0,20240222,20.8,0.3674,0.56,12.1421,3.018
0,20240223,21.02,0.3371,0.59,12.2705,3.0499
0,20240226,21.71,0.6541,1.45,12.6733,3.15
0,20240227,22.16,0.5364,1.21,12.936,3.2153
0,20240228,21.26,0.5603,1.19,12.4106,3.0847
0,20240229,21.76,0.3837,0.78,12.7025,3.1573
0,20240301,22.15,0.4991,1.01,12.9301,3.2139
0,20240304,21.75,0.3965,0.75,12.6966,3.1558
0,20240305,21.54,0.2934,0.62,12.5741,3.1254
0,20240306,21.46,0.35,0.82,12.5274,3.1137
0,20240307,21.34,0.2961,0.77,12.4573,3.0963
0,20240308,21.53,0.2155,0.59,12.5682,3.1239
0,20240311,21.61,0.2255,0.73,12.6149,3.1355
0,20240312,21.67,0.223,0.81,12.6499,3.1442
0,20240313,22.22,0.5012,1.91,12.971,3.224
0,20240314,22.75,0.7106,2.43,13.2804,3.3009
0,20240315,23.66,0.9344,2.49,13.8116,3.433
0,20240318,23.21,0.6222,1.2,13.5489,3.3677
0,20240319,22.71,0.4685,0.78,13.257,3.2951
0,20240320,23.03,0.3462,0.53,13.4438,3.3415
0,20240321,22.87,0.2352,0.38,13.3504,3.3183
0,20240322,23.08,0.3958,0.76,13.473,3.3488
0,20240325,22.75,0.3573,0.86,13.2804,3.3009
0,20240326,22.71,0.2148,0.6,13.257,3.2951
0,20240327,22.18,0.2365,0.76,12.9477,3.2182
0,20240328,22.54,0.2543,0.88,13.1578,3.2705
0,20240329,23.25,0.3516,1.21,13.5723,3.3735
0,20240401,23.46,0.3575,1.26,13.6949,3.4039
0,20240402,23.6,0.2507,0.89,13.7766,3.4242
0,20240403,24.42,0.4845,1.67,14.2553,3.5432
