,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,6.86,1.1168,1.22,,1.0825
0,20240103,6.85,0.8199,0.89,,1.0809
0,20240104,6.91,0.6415,0.73,,1.0904
0,20240105,6.8,0.8943,1.01,,1.073
0,20240108,6.75,0.8103,0.92,,1.0651
0,20240109,6.93,1.3104,1.53,,1.0935
0,20240110,6.95,1.218,1.36,,1.0967
0,20240111,6.83,1.3822,1.42,,1.0778
0,20240112,6.8,1.2202,1.09,,1.073
0,20240115,6.94,1.7204,1.45,,1.0951
0,20240116,6.83,1.7728,1.29,,1.0778
0,20240117,6.72,1.4258,0.97,,1.0604
0,20240118,6.6,1.4996,1.0,,1.0415
0,20240119,6.51,1.1729,0.77,,1.0273
0,20240122,6.08,1.3087,0.86,,0.9594
0,20240123,5.65,2.4485,1.71,,0.8916
0,20240124,5.92,2.0741,1.32,,0.9342
0,20240125,6.21,2.0123,1.18,,0.9799
0,20240126,6.13,1.673,0.93,,0.9673
0,20240129,5.91,1.5584,0.82,,0.9326
0,20240130,5.64,1.2307,0.63,,0.89
0,20240131,5.17,1.961,1.15,,0.8158
0,20240201,5.01,2.2779,1.35,,0.7906
0,20240202,4.62,2.1368,1.23,,0.729
0,20240205,4.16,1.2822,0.7,,0.6564
0,20240206,3.74,2.9647,1.67,,0.5902
0,20240207,3.63,6.0945,2.87,,0.5728
0,20240208,3.89,4.2435,1.44,,0.6138
0,20240219,3.93,2.9178,0.87,,0.6201
0,20240220,4.01,2.0811,0.59,,0.6328
0,20240221,4.15,2.6509,0.72,,0.6549
0,20240222,4.32,1.9929,0.55,,0.6817
0,20240223,4.54,1.9838,0.71,,0.7164
0,20240226,4.68,2.7216,1.17,,0.7385
0,20240227,4.74,1.7778,0.78,,0.748
0,20240228,4.27,3.5132,1.58,,0.6738
0,20240229,4.36,2.4755,1.03,,0.688
0,20240301,4.39,1.609,0.65,,0.6927
0,20240304,4.35,1.3578,0.56,,0.6864
0,20240305,4.19,1.5881,0.74,,0.6612
0,20240306,4.34,1.571,0.75,,0.6848
0,20240307,4.46,2.3669,1.38,,0.7038
0,20240308,4.39,1.1194,0.66,,0.6927
0,20240311,4.52,1.1874,0.74,,0.7132
0,20240312,4.6,1.2153,0.78,,0.7259
0,20240313,4.58,1.1962,0.8,,0.7227
0,20240314,4.57,0.943,0.67,,0.7211
0,20240315,4.71,1.2441,1.1,,0.7432
0,20240318,4.78,1.3516,1.17,,0.7543
0,20240319,4.75,1.1397,0.96,,0.7495
0,20240320,4.85,1.5313,1.3,,0.7653
0,20240321,4.88,1.4721,1.19,,0.7701
0,20240322,4.72,1.689,1.25,,0.7448
0,20240325,4.56,1.3331,0.93,,0.7196
0,20240326,4.58,1.4189,0.99,,0.7227
0,20240327,4.45,1.342,0.9,,0.7022
0,20240328,4.63,1.9663,1.36,,0.7306
0,20240329,5.09,2.9452,1.9,,0.8032
0,20240401,5.6,0.6811,0.38,,0.8837
0,20240402,6.16,1.1354,0.68,,0.972
0,20240403,6.78,12.7433,7.9,,1.0699
