,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,25.95,0.7077,1.61,7.2526,3.3094
0,20240103,26.17,0.4165,0.79,7.314,3.3374
0,20240104,26.95,1.001,1.9,7.532,3.4369
0,20240105,26.69,0.8491,1.31,7.4594,3.4038
0,20240108,26.77,0.7599,1.1,7.4817,3.414
0,20240109,26.9,1.0514,1.41,7.5181,3.4305
0,20240110,26.91,0.5092,0.62,7.5209,3.4318
0,20240111,27.01,0.7131,0.85,7.5488,3.4446
0,20240112,27.4,0.6987,0.9,7.6578,3.4943
0,20240115,26.67,0.7919,1.06,7.4538,3.4012
0,20240116,26.75,0.6837,0.91,7.4761,3.4114
0,20240117,26.21,0.406,0.6,7.3252,3.3425
0,20240118,26.27,1.0286,1.56,7.342,3.3502
0,20240119,26.11,0.6467,0.9,7.2973,3.3298
0,20240122,25.21,0.6592,0.93,7.0457,3.215
0,20240123,25.59,0.5835,0.85,7.1519,3.2635
0,20240124,25.7,0.5244,0.79,7.1827,3.2775
0,20240125,26.24,0.8202,1.19,7.3336,3.3464
0,20240126,26.66,0.8096,1.25,7.451,3.3999
0,20240129,25.59,0.6987,1.03,7.1519,3.2635
0,20240130,25.3,0.4259,0.62,7.0709,3.2265
0,20240131,24.77,0.564,0.86,6.9228,3.1589
0,20240201,24.56,0.4965,0.75,6.8641,3.1321
0,20240202,24.05,0.7241,1.21,6.7215,3.0671
0,20240205,23.88,0.8263,1.42,6.674,3.0454
0,20240206,25.37,0.8983,1.48,7.0905,3.2354
0,20240207,26.37,0.806,1.15,7.3699,3.3629
0,20240208,26.1,0.8556,1.14,7.2945,3.3285
0,20240219,26.41,0.7632,0.93,7.3811,3.3681
0,20240220,26.48,0.5325,0.64,7.4007,3.377
0,20240221,26.42,0.5838,0.76,7.3839,3.3693
0,20240222,26.94,0.6209,0.88,7.5292,3.4356
0,20240223,27.7,0.9594,1.43,7.7417,3.5326
0,20240226,27.83,0.9511,1.37,7.778,3.5491
0,20240227,27.78,0.5922,0.81,7.764,3.5428
0,20240228,27.46,0.6121,0.83,7.6746,3.502
0,20240229,29.29,1.3615,1.82,8.186,3.7353
0,20240301,29.43,1.2699,1.42,8.2252,3.7532
0,20240304,29.67,1.0531,1.1,8.2922,3.7838
0,20240305,29.23,0.8865,0.91,8.1693,3.7277
0,20240306,29.42,0.6761,0.65,8.2224,3.7519
0,20240307,29.6,0.8183,0.78,8.2727,3.7749
0,20240308,29.9,0.7194,0.76,8.3565,3.8131
0,20240311,29.69,0.9759,1.17,8.2978,3.7863
0,20240312,29.0,0.9093,1.12,8.105,3.6984
0,20240313,28.9,0.6206,0.76,8.077,3.6856
0,20240314,29.65,1.5678,1.94,8.2866,3.7812
0,20240315,31.46,1.8631,1.94,8.7925,4.0121
0,20240318,31.48,1.1541,0.97,8.7981,4.0146
0,20240319,31.43,0.8547,0.7,8.7841,4.0082
0,20240320,31.16,0.6808,0.56,8.7087,3.9738
0,20240321,30.64,1.168,0.95,14.1597,3.7085
0,20240322,29.01,1.2029,1.05,13.4064,3.5112
0,20240325,29.71,1.0167,1.0,13.7299,3.5959
0,20240326,29.65,0.5134,0.52,13.7022,3.5887
0,20240327,29.86,0.7551,0.82,13.7993,3.6141
0,20240328,29.75,0.7133,0.77,13.7484,3.6008
0,20240329,31.53,1.3879,1.65,14.571,3.8162
0,20240401,31.69,1.0348,1.18,14.645,3.8356
0,20240402,31.83,0.7108,0.81,14.7096,3.8525
0,20240403,33.36,1.5621,1.7,15.4167,4.0377
