,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,10.96,3.0965,0.89,,13.2301
0,20240103,10.98,2.8567,0.84,,13.2542
0,20240104,10.87,2.1646,0.66,,13.1215
0,20240105,10.71,3.7397,1.2,,12.9283
0,20240108,10.57,2.4039,0.77,,12.7593
0,20240109,10.98,6.345,2.22,,13.2542
0,20240110,11.61,13.6191,3.89,,14.0147
0,20240111,11.63,10.5182,1.86,,14.0389
0,20240112,11.28,5.6391,0.77,,13.6164
0,20240115,11.92,14.2589,1.85,,14.3889
0,20240116,11.87,15.5692,1.55,,14.3286
0,20240117,11.22,9.3975,0.79,,13.5439
0,20240118,10.84,8.1568,0.74,,13.0852
0,20240119,10.84,6.0299,0.57,,13.0852
0,20240122,10.06,5.8506,0.55,,12.1437
0,20240123,9.91,3.9662,0.44,,11.9626
0,20240124,10.12,3.8656,0.58,,12.2161
0,20240125,10.32,4.0502,0.73,,12.4575
0,20240126,10.23,3.4498,0.73,,12.3489
0,20240129,9.81,3.6928,0.87,,11.8419
0,20240130,9.65,2.6769,0.7,,11.6488
0,20240131,8.88,4.2155,1.19,,10.7193
0,20240201,8.42,3.6286,1.0,,10.164
0,20240202,8.51,4.0101,1.14,,10.2726
0,20240205,7.66,4.246,1.16,,9.2466
0,20240206,7.9,4.999,1.33,,9.5363
0,20240207,7.75,3.6792,0.87,,9.3552
0,20240208,8.29,4.4698,1.09,,10.0071
0,20240219,8.51,3.9711,0.93,,10.2726
0,20240220,8.57,3.2905,0.77,,10.3451
0,20240221,8.65,4.3447,1.06,,10.4416
0,20240222,8.9,4.9953,1.26,,10.7434
0,20240223,8.98,4.5557,1.08,,10.84
0,20240226,9.0,3.6758,0.87,,10.8641
0,20240227,9.2,4.2505,1.02,,11.1056
0,20240228,8.64,6.2885,1.44,,10.4296
0,20240229,8.82,3.5685,0.75,,10.6468
0,20240301,8.92,3.044,0.68,,10.7676
0,20240304,8.91,2.6853,0.64,,10.7555
0,20240305,9.03,4.9904,1.26,,10.9003
0,20240306,8.98,3.3229,0.81,,10.84
0,20240307,9.53,9.0923,2.58,,11.5039
0,20240308,9.17,5.9009,1.28,,11.0693
0,20240311,9.2,3.6882,0.71,,11.1056
0,20240312,9.6,9.9557,1.84,,11.5884
0,20240313,9.46,6.1547,0.96,,11.4194
0,20240314,9.43,5.0313,0.72,,11.3832
0,20240315,9.47,3.4133,0.56,,11.4315
0,20240318,9.52,4.3182,0.76,,11.4918
0,20240319,9.45,3.6606,0.63,,11.4073
0,20240320,9.52,3.17,0.7,,11.4918
0,20240321,9.75,7.185,1.83,,11.7695
0,20240322,9.45,5.0692,1.17,,11.4073
0,20240325,9.18,4.2229,0.9,,11.0814
0,20240326,9.01,3.4845,0.75,,10.8762
0,20240327,8.85,3.6227,0.78,,10.6831
0,20240328,9.03,3.4858,0.74,,10.9003
0,20240329,9.12,2.9407,0.74,,11.009
0,20240401,9.32,3.4402,0.97,,11.2504
0,20240402,9.28,3.4401,1.01,,11.2021
0,20240403,9.35,3.5372,1.04,,11.2866
