,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,19.16,1.998,1.64,12.272,1.9204
0,20240103,18.8,1.3285,0.95,12.0415,1.8843
0,20240104,18.89,1.5938,1.13,12.0991,1.8933
0,20240105,18.38,1.3567,0.88,11.7724,1.8422
0,20240108,18.07,1.1455,0.76,11.5739,1.8111
0,20240109,18.4,1.3413,0.9,11.7853,1.8442
0,20240110,18.35,1.0386,0.77,11.7532,1.8392
0,20240111,18.76,1.1553,0.89,12.0158,1.8803
0,20240112,18.82,1.3156,1.09,12.0543,1.8863
0,20240115,18.78,1.0424,0.87,12.0286,1.8823
0,20240116,18.83,1.1713,0.99,12.0607,1.8873
0,20240117,18.69,1.8687,1.63,11.971,1.8733
0,20240118,18.25,2.0684,1.58,11.6892,1.8292
0,20240119,17.93,1.1862,0.79,11.4842,1.7971
0,20240122,16.37,2.4939,1.7,10.485,1.6407
0,20240123,16.21,2.0064,1.14,10.3826,1.6247
0,20240124,16.53,1.8672,0.97,10.5875,1.6568
0,20240125,17.55,1.7198,0.89,11.2408,1.759
0,20240126,17.56,1.4614,0.79,11.2472,1.76
0,20240129,17.03,1.1965,0.63,10.9078,1.7069
0,20240130,16.37,1.2262,0.74,10.485,1.6407
0,20240131,15.52,1.9444,1.3,9.9406,1.5555
0,20240201,15.45,2.4438,1.62,9.8958,1.5485
0,20240202,15.02,2.6695,1.61,9.6204,1.5054
0,20240205,13.75,3.1391,1.66,8.8069,1.3781
0,20240206,14.71,3.212,1.41,9.4218,1.4743
0,20240207,14.6,2.4843,0.93,9.3513,1.4633
0,20240208,16.06,2.7167,0.97,10.2865,1.6097
0,20240219,16.99,2.733,0.96,10.8821,1.7029
0,20240220,16.7,1.6291,0.57,10.6964,1.6738
0,20240221,16.61,1.9011,0.74,10.6388,1.6648
0,20240222,16.89,1.5393,0.67,10.8181,1.6928
0,20240223,17.22,2.1456,1.02,11.0295,1.7259
0,20240226,18.08,4.5768,2.3,11.5803,1.8121
0,20240227,18.06,3.1478,1.33,11.5675,1.8101
0,20240228,17.06,3.1269,1.17,10.927,1.7099
0,20240229,17.82,2.4967,0.86,11.4138,1.7861
0,20240301,17.94,2.0681,0.67,11.4906,1.7981
0,20240304,19.0,4.3052,1.4,12.1696,1.9043
0,20240305,18.31,2.6761,0.88,11.7276,1.8352
0,20240306,18.41,1.7851,0.61,11.7917,1.8452
0,20240307,19.07,3.9322,1.47,12.2144,1.9113
0,20240308,19.09,2.3386,0.79,12.2272,1.9133
0,20240311,18.93,2.1503,0.72,12.1247,1.8973
0,20240312,18.74,1.7555,0.68,12.003,1.8783
0,20240313,18.65,1.7854,0.75,11.9454,1.8692
0,20240314,18.81,2.0135,0.84,12.0479,1.8853
0,20240315,18.77,1.4586,0.73,12.0222,1.8813
0,20240318,19.16,1.8086,0.99,12.272,1.9204
0,20240319,18.8,1.5015,0.85,12.0415,1.8843
0,20240320,19.05,1.4001,0.82,12.2016,1.9093
0,20240321,19.1,1.6425,1.0,12.2336,1.9143
0,20240322,19.13,1.7411,1.11,12.2528,1.9174
0,20240325,19.39,3.3946,2.1,12.4194,1.9434
0,20240326,19.0,2.1076,1.09,12.1696,1.9043
0,20240327,18.12,2.0806,1.01,11.6059,1.8161
0,20240328,18.45,1.4724,0.67,11.8173,1.8492
0,20240329,19.09,1.3565,0.63,12.2272,1.9133
0,20240401,20.12,2.7741,1.33,12.8869,2.0166
0,20240402,20.05,1.5969,0.82,12.8421,2.0096
0,20240403,19.71,1.8048,0.97,12.6243,1.9755
