,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,10.61,4.0546,1.52,,3.4656
0,20240103,10.58,2.9464,1.01,,3.4558
0,20240104,10.86,8.0842,2.65,,3.5473
0,20240105,10.48,6.4411,1.57,,3.4232
0,20240108,10.32,3.1915,0.66,,3.3709
0,20240109,10.37,2.2176,0.45,,3.3872
0,20240110,10.25,2.4509,0.54,,3.348
0,20240111,10.37,2.3068,0.52,,3.3872
0,20240112,10.94,14.9574,4.5,,3.5734
0,20240115,11.13,17.3898,3.46,,3.6355
0,20240116,10.72,12.2388,1.56,,3.5016
0,20240117,10.16,9.2286,0.94,,3.3187
0,20240118,9.87,8.0404,0.72,,3.2239
0,20240119,9.59,4.2799,0.35,,3.1325
0,20240122,8.99,4.9096,0.48,,2.9365
0,20240123,9.06,4.0402,0.52,,2.9593
0,20240124,9.3,4.5195,0.74,,3.0377
0,20240125,9.75,4.0549,0.79,,3.1847
0,20240126,9.95,5.3168,1.22,,3.2501
0,20240129,9.49,3.5492,0.78,,3.0998
0,20240130,9.16,2.4312,0.57,,2.992
0,20240131,8.73,4.0505,1.02,,2.8516
0,20240201,8.44,3.9157,1.01,,2.7568
0,20240202,7.94,4.5576,1.18,,2.5935
0,20240205,7.15,4.2073,1.14,,2.3355
0,20240206,6.82,8.5915,2.24,,2.2277
0,20240207,6.47,7.7358,1.53,,2.1134
0,20240208,6.9,7.1963,1.24,,2.2538
0,20240219,7.59,7.666,1.19,,2.4792
0,20240220,7.44,6.3122,0.89,,2.4302
0,20240221,7.61,7.7627,1.03,,2.4857
0,20240222,8.02,9.1777,1.25,,2.6196
0,20240223,8.1,6.712,0.88,,2.6458
0,20240226,8.18,7.0638,0.94,,2.6719
0,20240227,8.48,5.4151,0.73,,2.7699
0,20240228,7.72,9.367,1.3,,2.5217
0,20240229,8.18,6.8629,0.91,,2.6719
0,20240301,8.25,5.429,0.77,,2.6948
0,20240304,8.36,5.2057,0.76,,2.7307
0,20240305,8.1,4.507,0.7,,2.6458
0,20240306,8.24,3.8674,0.62,,2.6915
0,20240307,8.29,4.1758,0.81,,2.7078
0,20240308,8.3,2.8906,0.62,,2.7111
0,20240311,8.31,3.3506,0.81,,2.7144
0,20240312,8.48,4.6517,1.24,,2.7699
0,20240313,8.53,4.5383,1.2,,2.7862
0,20240314,8.49,5.7333,1.46,,2.7732
0,20240315,8.69,6.7164,1.59,,2.8385
0,20240318,8.85,5.5617,1.11,,2.8908
0,20240319,8.85,4.972,0.91,,2.8908
0,20240320,8.95,4.0061,0.73,,2.9234
0,20240321,8.98,3.7271,0.69,,2.9332
0,20240322,8.77,3.6341,0.73,,2.8646
0,20240325,9.65,14.1856,3.24,,3.1521
0,20240326,9.53,24.127,3.95,,3.1129
0,20240327,8.88,16.2958,1.64,,2.9006
0,20240328,8.94,11.8987,0.96,,2.9202
0,20240329,9.44,15.8309,1.13,,3.0835
0,20240401,9.5,10.9977,0.67,,3.1031
0,20240402,9.74,16.3849,1.04,45.3398,3.2447
0,20240403,10.45,22.3587,1.57,48.6449,3.4812
