,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,11.75,0.5476,1.21,27.5271,2.681
0,20240103,11.57,0.4949,1.03,27.1528,2.6352
0,20240104,11.51,0.5538,1.12,27.012,2.6216
0,20240105,11.6,0.494,0.9,27.2232,2.6421
0,20240108,11.48,0.4739,0.89,26.9416,2.6147
0,20240109,11.72,0.5852,1.14,27.5048,2.6694
0,20240110,11.63,0.4488,0.86,27.2936,2.6489
0,20240111,12.04,1.2118,2.37,28.2558,2.7423
0,20240112,12.12,0.625,0.97,28.4435,2.7605
0,20240115,12.09,0.4546,0.68,28.3731,2.7537
0,20240116,12.2,0.8094,1.22,28.6313,2.7787
0,20240117,12.0,0.7146,1.01,28.1619,2.7332
0,20240118,12.05,0.7324,0.96,28.2793,2.7446
0,20240119,11.69,0.8978,1.35,27.4344,2.6626
0,20240122,11.22,0.8885,1.23,26.3314,2.5555
0,20240123,11.53,0.9485,1.17,27.0589,2.6261
0,20240124,11.6,0.817,0.98,27.2232,2.6421
0,20240125,11.33,1.6439,1.92,26.5896,2.5806
0,20240126,11.23,1.1941,1.15,26.3549,2.5578
0,20240129,11.32,1.2619,1.15,26.5661,2.5783
0,20240130,11.88,2.1626,1.84,27.8803,2.7059
0,20240131,12.08,1.6861,1.19,28.3497,2.7514
0,20240201,12.18,1.3787,0.87,28.5844,2.7742
0,20240202,12.05,1.2772,0.83,28.2793,2.7446
0,20240205,12.19,2.0158,1.3,28.6078,2.7765
0,20240206,12.92,1.876,1.1,30.321,2.9427
0,20240207,13.75,2.2718,1.38,32.2689,3.1318
0,20240208,13.45,2.8476,1.61,31.5648,3.0634
0,20240219,13.3,1.8208,0.88,31.2128,3.0293
0,20240220,13.19,1.301,0.6,30.9547,3.0042
0,20240221,13.61,1.525,0.75,31.9403,3.0999
0,20240222,13.56,0.7912,0.41,31.823,3.0885
0,20240223,13.57,0.9188,0.55,31.8464,3.0908
0,20240226,13.82,1.2449,1.03,34.1204,2.9959
0,20240227,14.31,1.2112,1.09,35.3302,3.1021
0,20240228,13.96,1.2107,1.09,34.4661,3.0262
0,20240229,14.4,1.0471,0.99,35.5524,3.1216
0,20240301,14.35,0.8089,0.72,35.429,3.1108
0,20240304,14.5,0.6905,0.63,35.7993,3.1433
0,20240305,14.42,0.8025,0.81,35.6018,3.126
0,20240306,14.47,0.6506,0.71,35.7252,3.1368
0,20240307,14.26,0.4591,0.57,35.2068,3.0913
0,20240308,14.51,0.5462,0.8,35.824,3.1455
0,20240311,14.31,0.7335,1.16,35.3302,3.1021
0,20240312,14.32,0.6915,1.08,35.3549,3.1043
0,20240313,14.27,0.8542,1.39,35.2314,3.0934
0,20240314,14.01,1.0191,1.55,34.5895,3.0371
0,20240315,14.1,0.6151,0.8,34.8117,3.0566
0,20240318,13.63,1.3223,1.69,33.6513,2.9547
0,20240319,13.46,1.0852,1.21,33.2316,2.9178
0,20240320,13.93,1.1709,1.2,34.392,3.0197
0,20240321,13.84,0.6035,0.58,34.1698,3.0002
0,20240322,14.07,0.6556,0.68,34.7377,3.0501
0,20240325,14.05,0.7057,0.73,34.6883,3.0457
0,20240326,14.24,0.6033,0.71,35.1574,3.0869
0,20240327,14.28,0.625,0.84,35.2561,3.0956
0,20240328,14.57,0.874,1.37,35.9721,3.1585
0,20240329,14.68,0.6193,0.89,36.2437,3.1823
0,20240401,15.25,0.9879,1.44,37.651,3.3059
0,20240402,15.1,0.8802,1.19,37.2806,3.2734
0,20240403,15.21,0.5762,0.72,37.5522,3.2972
