,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,4.19,1.1843,1.86,14.06,0.556
0,20240103,4.25,0.8083,1.06,14.2613,0.564
0,20240104,4.28,0.6396,0.76,14.362,0.5679
0,20240105,4.25,0.6235,0.71,14.2613,0.564
0,20240108,4.19,0.6332,0.83,14.06,0.556
0,20240109,4.3,0.8811,1.13,14.4291,0.5706
0,20240110,4.22,0.6221,0.87,14.1606,0.56
0,20240111,4.16,0.6864,1.01,13.9593,0.552
0,20240112,4.18,0.5009,0.73,14.0264,0.5547
0,20240115,4.25,0.6356,0.96,14.2613,0.564
0,20240116,4.22,0.5347,0.8,14.1606,0.56
0,20240117,4.16,0.5178,0.87,13.9593,0.552
0,20240118,4.06,1.0832,1.88,13.6237,0.5387
0,20240119,4.04,0.5416,0.83,13.5566,0.5361
0,20240122,3.86,1.1551,1.74,12.9526,0.5122
0,20240123,3.86,0.8756,1.14,12.9526,0.5122
0,20240124,4.05,1.0266,1.23,13.5902,0.5374
0,20240125,4.15,0.7866,0.84,13.9257,0.5507
0,20240126,4.25,0.8643,0.99,14.2613,0.564
0,20240129,4.24,0.8479,0.9,14.2277,0.5626
0,20240130,4.19,0.8539,0.97,14.06,0.556
0,20240131,4.12,1.0245,1.17,13.8251,0.5467
0,20240201,4.08,1.1382,1.3,13.6908,0.5414
0,20240202,4.05,1.1173,1.18,13.5902,0.5374
0,20240205,3.91,1.3346,1.34,13.1204,0.5188
0,20240206,3.97,1.5845,1.45,13.3217,0.5253
0,20240207,3.93,1.2194,0.98,13.1875,0.52
0,20240208,4.08,1.6909,1.32,13.6908,0.5399
0,20240219,4.21,1.3783,0.99,14.1271,0.5571
0,20240220,4.24,0.9277,0.64,14.2277,0.5611
0,20240221,4.28,1.014,0.75,14.362,0.5664
0,20240222,4.31,0.6911,0.55,14.4626,0.5703
0,20240223,4.57,2.0433,1.79,15.3351,0.6047
0,20240226,4.43,1.3888,1.15,14.8653,0.5862
0,20240227,4.49,0.7185,0.59,15.0666,0.5942
0,20240228,4.38,0.8547,0.73,14.6975,0.5796
0,20240229,4.49,0.8703,0.76,15.0666,0.5942
0,20240301,4.43,0.643,0.55,14.8653,0.5862
0,20240304,4.45,0.5132,0.57,14.9324,0.5889
0,20240305,4.45,0.7617,1.06,14.9324,0.5889
0,20240306,4.42,0.5649,0.78,14.8317,0.5849
0,20240307,4.45,0.4133,0.62,14.9324,0.5889
0,20240308,4.51,0.7281,1.26,15.1338,0.5968
0,20240311,4.59,1.2459,2.09,15.4022,0.6074
0,20240312,4.55,0.8413,1.13,15.268,0.6021
0,20240313,4.52,0.4845,0.64,15.1673,0.5981
0,20240314,4.55,0.5034,0.68,15.268,0.6021
0,20240315,4.59,0.4543,0.6,15.4022,0.6074
0,20240318,4.65,0.6334,0.9,15.6035,0.6153
0,20240319,4.6,0.4159,0.71,15.4358,0.6087
0,20240320,4.63,0.3808,0.76,15.5364,0.6127
0,20240321,4.6,0.5828,1.22,15.4358,0.6087
0,20240322,4.59,0.5053,1.02,15.4022,0.6074
0,20240325,4.61,0.7574,1.5,15.4693,0.61
0,20240326,4.46,1.9795,3.75,8.8473,0.5898
0,20240327,4.45,1.4731,1.75,8.8274,0.5885
0,20240328,4.52,0.8144,0.77,8.9663,0.5977
0,20240329,4.61,0.7521,0.68,9.1448,0.6097
0,20240401,4.56,0.8235,0.71,9.0456,0.603
0,20240402,4.55,0.622,0.53,9.0258,0.6017
0,20240403,4.59,0.7252,0.81,9.1052,0.607
