,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,11.14,2.6166,0.9,1096.1832,2.8924
0,20240103,11.03,2.5653,0.87,1085.3591,2.8639
0,20240104,11.22,5.3428,1.85,1104.0552,2.9132
0,20240105,10.92,4.5197,1.34,1074.535,2.8353
0,20240108,10.77,2.548,0.7,1059.7749,2.7964
0,20240109,10.8,2.3,0.65,1062.727,2.8042
0,20240110,10.6,2.524,0.73,1043.0468,2.7522
0,20240111,10.98,2.8261,0.82,1080.4391,2.8509
0,20240112,10.78,2.2914,0.78,1060.7589,2.799
0,20240115,10.66,1.9069,0.76,1048.9509,2.7678
0,20240116,10.7,2.1173,0.89,1052.8869,2.7782
0,20240117,10.38,1.7714,0.76,1021.3987,2.6951
0,20240118,10.26,3.1038,1.42,1009.5906,2.6639
0,20240119,10.1,1.78,0.8,993.8465,2.6224
0,20240122,9.47,2.9387,1.38,931.8541,2.4588
0,20240123,9.39,2.5971,1.11,923.9821,2.4381
0,20240124,9.52,2.6462,1.09,936.7741,2.4718
0,20240125,10.03,3.5862,1.37,986.9585,2.6042
0,20240126,10.14,2.9236,1.08,997.7825,2.6328
0,20240129,9.54,2.9179,0.99,938.7421,2.477
0,20240130,9.26,1.9741,0.67,911.19,2.4043
0,20240131,8.47,3.8397,1.37,833.4535,2.1992
0,20240201,8.29,3.1631,1.04,815.7413,2.1524
0,20240202,7.83,3.6677,1.24,770.477,2.033
0,20240205,7.05,3.3028,1.06,693.7245,1.8305
0,20240206,6.63,7.9743,2.5,652.3963,1.7214
0,20240207,6.09,7.1199,1.62,599.2599,1.5812
0,20240208,6.59,6.4371,1.28,648.4602,1.7111
0,20240219,7.18,5.7709,1.01,706.5166,1.8642
0,20240220,7.38,4.6208,0.75,726.1968,1.9162
0,20240221,7.54,5.8341,0.91,741.9409,1.9577
0,20240222,7.95,5.2633,0.88,782.2851,2.0642
0,20240223,8.75,2.7376,0.49,861.0056,2.2719
0,20240226,8.75,12.1241,2.5,861.0056,2.2719
0,20240227,9.07,7.8497,1.28,892.4938,2.355
0,20240228,8.16,9.3692,1.39,802.9493,2.1187
0,20240229,8.55,6.0773,0.81,841.3255,2.22
0,20240301,8.89,8.4596,1.11,874.7817,2.3082
0,20240304,8.88,6.3635,0.73,873.7977,2.3056
0,20240305,8.67,4.678,0.61,853.1336,2.2511
0,20240306,9.54,7.8029,1.12,938.7421,2.477
0,20240307,9.19,12.2563,1.84,904.3019,2.3861
0,20240308,9.23,7.2296,0.91,908.2379,2.3965
0,20240311,9.19,4.9028,0.64,904.3019,2.3861
0,20240312,9.26,5.5781,0.76,911.19,2.4043
0,20240313,9.27,5.7781,0.76,912.174,2.4069
0,20240314,9.29,5.1785,0.72,914.142,2.4121
0,20240315,9.36,4.4246,0.77,921.03,2.4303
0,20240318,9.78,9.1053,1.76,962.3583,2.5393
0,20240319,10.02,11.5694,1.92,985.9745,2.6016
0,20240320,9.93,6.4021,0.89,977.1184,2.5783
0,20240321,10.46,18.2492,2.49,1029.2707,2.7159
0,20240322,9.95,12.251,1.23,979.0864,2.5835
0,20240325,10.95,10.5712,0.92,1077.4871,2.8431
0,20240326,10.78,23.5787,2.0,1060.7589,2.799
0,20240327,9.7,13.1595,0.93,954.4863,2.5185
0,20240328,9.77,10.9355,0.7,961.3743,2.5367
0,20240329,10.03,11.7112,0.83,986.9585,2.6042
0,20240401,11.03,6.7352,0.48,1085.3591,2.8639
0,20240402,10.6,16.7987,1.27,1043.0468,2.7522
0,20240403,10.22,6.8722,0.58,1005.6546,2.6536
