,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,3.65,5.6424,0.68,318.7292,4.2593
0,20240103,3.71,6.2524,0.83,323.9686,4.3293
0,20240104,3.67,3.5159,0.48,320.4757,4.2827
0,20240105,3.57,3.7288,0.52,311.7434,4.166
0,20240108,3.58,2.2398,0.41,312.6166,4.1776
0,20240109,3.59,2.3341,0.55,313.4899,4.1893
0,20240110,3.61,3.133,0.87,315.2363,4.2127
0,20240111,3.69,4.6619,1.56,322.2222,4.306
0,20240112,3.61,3.011,0.94,315.2363,4.2127
0,20240115,3.59,2.2139,0.72,313.4899,4.1893
0,20240116,3.48,4.2091,1.37,303.8843,4.061
0,20240117,3.26,5.1743,1.5,284.6732,3.8042
0,20240118,3.2,4.2325,1.1,279.4339,3.7342
0,20240119,3.14,2.4735,0.66,274.1945,3.6642
0,20240122,2.98,3.5573,0.97,260.2228,3.4775
0,20240123,3.02,2.8138,0.72,263.7157,3.5242
0,20240124,3.09,3.6088,0.99,269.8283,3.6058
0,20240125,3.25,7.4785,2.24,283.8,3.7926
0,20240126,3.34,7.2425,1.82,291.6591,3.8976
0,20240129,3.17,4.1481,0.84,276.8142,3.6992
0,20240130,3.02,2.7357,0.54,263.7157,3.5242
0,20240131,2.91,3.3914,0.67,254.1102,3.3958
0,20240201,2.77,3.6943,0.74,241.8849,3.2324
0,20240202,2.58,4.8042,1.13,225.2935,3.0107
0,20240205,2.32,4.4277,1.18,202.5895,2.7073
0,20240206,2.35,3.7601,0.99,205.2092,2.7423
0,20240207,2.3,3.4339,0.86,200.8431,2.684
0,20240208,2.47,3.7895,0.94,215.688,2.8823
0,20240219,2.57,3.8329,0.95,224.4203,2.999
0,20240220,2.6,3.4329,0.89,227.04,3.034
0,20240221,2.68,6.478,1.77,234.0259,3.1274
0,20240222,2.76,5.4599,1.3,241.0117,3.2208
0,20240223,2.89,7.5492,1.64,252.3637,3.3725
0,20240226,2.85,5.9919,1.12,248.8708,3.3258
0,20240227,2.94,5.4164,0.94,256.7299,3.4308
0,20240228,2.72,7.1299,1.15,237.5188,3.1741
0,20240229,2.89,6.7306,1.07,252.3637,3.3725
0,20240301,2.92,6.9717,1.06,254.9834,3.4075
0,20240304,2.87,4.8659,0.75,250.6172,3.3491
0,20240305,2.79,3.9189,0.63,243.6314,3.2558
0,20240306,2.8,2.8294,0.48,244.5046,3.2674
0,20240307,2.77,3.341,0.66,241.8849,3.2324
0,20240308,2.75,2.4982,0.57,240.1385,3.2091
0,20240311,2.82,2.7167,0.78,246.2511,3.2908
0,20240312,2.9,5.2994,1.73,253.2369,3.3841
0,20240313,2.89,3.5114,1.05,252.3637,3.3725
0,20240314,2.83,2.5652,0.74,247.1243,3.3024
0,20240315,2.86,1.9903,0.6,249.744,3.3374
0,20240318,2.89,2.9278,0.91,252.3637,3.3725
0,20240319,2.91,4.5331,1.39,254.1102,3.3958
0,20240320,2.94,3.5966,1.16,256.7299,3.4308
0,20240321,2.92,3.4658,1.11,254.9834,3.4075
0,20240322,2.84,3.2271,0.98,247.9975,3.3141
0,20240325,2.71,3.6391,1.03,236.6455,3.1624
0,20240326,2.73,3.3568,0.91,238.392,3.1857
0,20240327,2.62,3.2751,0.95,228.7865,3.0574
0,20240328,2.66,2.496,0.74,232.2794,3.1041
0,20240329,2.66,2.0486,0.64,232.2794,3.1041
0,20240401,2.7,2.4096,0.82,,3.1191
0,20240402,2.69,2.7112,1.0,,3.1076
0,20240403,2.87,12.3719,4.79,,3.3155
