,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,3.71,1.3388,1.52,25.1849,0.8982
0,20240103,3.76,1.1775,1.2,25.5243,0.9103
0,20240104,3.78,1.0965,1.07,25.6601,0.9151
0,20240105,3.73,0.9752,0.89,25.3206,0.903
0,20240108,3.69,0.7366,0.66,25.0491,0.8934
0,20240109,3.77,1.1802,1.11,25.5922,0.9127
0,20240110,3.72,0.8675,0.84,25.2528,0.9006
0,20240111,3.71,0.6766,0.7,25.1849,0.8982
0,20240112,3.68,0.5943,0.67,24.9812,0.8909
0,20240115,3.65,0.7241,0.89,24.7776,0.8837
0,20240116,3.6,0.8922,1.1,24.4382,0.8716
0,20240117,3.49,0.7467,0.99,23.6914,0.8449
0,20240118,3.39,1.6639,2.29,23.0126,0.8207
0,20240119,3.34,0.7009,0.76,22.6732,0.8086
0,20240122,3.16,1.0764,1.14,21.4513,0.765
0,20240123,3.23,0.9845,0.97,21.9265,0.782
0,20240124,3.29,1.215,1.17,22.3338,0.7965
0,20240125,3.51,1.5308,1.36,23.8272,0.8498
0,20240126,3.56,1.0463,0.95,24.1666,0.8619
0,20240129,3.49,1.029,0.88,23.6914,0.8449
0,20240130,3.41,0.7182,0.62,23.1484,0.8256
0,20240131,3.26,1.0823,0.98,22.1301,0.7893
0,20240201,3.11,1.2474,1.15,21.1119,0.7529
0,20240202,2.97,1.4912,1.46,20.1615,0.719
0,20240205,2.67,2.0779,1.87,18.125,0.6464
0,20240206,2.7,1.9666,1.49,18.3286,0.6537
0,20240207,2.62,1.9084,1.21,17.7855,0.6343
0,20240208,2.88,2.3283,1.34,19.5505,0.6973
0,20240219,3.0,1.9798,1.01,20.3651,0.7263
0,20240220,3.01,1.1311,0.55,20.433,0.7287
0,20240221,3.06,1.159,0.62,20.7724,0.7408
0,20240222,3.2,1.1617,0.68,21.7228,0.7747
0,20240223,3.25,1.2808,0.83,22.0622,0.7868
0,20240226,3.21,0.9605,0.72,21.7907,0.7772
0,20240227,3.25,0.7862,0.69,22.0622,0.7868
0,20240228,3.09,1.6702,1.56,20.9761,0.7481
0,20240229,3.14,0.8921,0.76,21.3155,0.7602
0,20240301,3.22,0.8886,0.79,21.8586,0.7796
0,20240304,3.19,0.7873,0.76,21.6549,0.7723
0,20240305,3.11,0.7827,0.78,21.1119,0.7529
0,20240306,3.19,1.0303,1.03,21.6549,0.7723
0,20240307,3.19,0.8794,1.0,21.6549,0.7723
0,20240308,3.19,0.6479,0.74,21.6549,0.7723
0,20240311,3.19,0.6804,0.82,21.6549,0.7723
0,20240312,3.21,0.9202,1.14,21.7907,0.7772
0,20240313,3.19,0.6394,0.77,21.6549,0.7723
0,20240314,3.22,0.8496,1.13,21.8586,0.7796
0,20240315,3.25,0.9991,1.34,22.0622,0.7868
0,20240318,3.26,0.7765,0.95,22.1301,0.7893
0,20240319,3.26,1.1567,1.38,22.1301,0.7893
0,20240320,3.3,0.9287,1.05,22.4016,0.7989
0,20240321,3.3,0.9452,1.0,22.4016,0.7989
0,20240322,3.25,0.789,0.82,22.0622,0.7868
0,20240325,3.19,0.6124,0.67,21.6549,0.7723
0,20240326,3.17,0.7462,0.84,21.5192,0.7675
0,20240327,3.09,0.7906,0.98,20.9761,0.7481
0,20240328,3.1,0.5829,0.75,21.044,0.7505
0,20240329,3.17,0.592,0.84,21.5192,0.7675
0,20240401,3.21,0.6911,1.04,21.7907,0.7772
0,20240402,3.26,0.9632,1.42,22.1301,0.7893
0,20240403,3.39,1.4052,1.94,23.0126,0.8207
