,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,6.12,0.8406,0.93,36.1362,3.5995
0,20240103,6.08,0.7801,0.83,35.9,3.576
0,20240104,6.09,0.9672,1.03,35.9591,3.5819
0,20240105,5.96,1.0258,1.03,35.1915,3.5054
0,20240108,5.66,1.451,1.49,33.4201,3.329
0,20240109,5.58,0.8842,0.87,32.9477,3.2819
0,20240110,5.51,0.7835,0.77,32.5344,3.2407
0,20240111,5.69,0.9587,0.94,33.5972,3.3466
0,20240112,5.63,0.6569,0.64,33.2429,3.3113
0,20240115,5.56,0.7068,0.75,32.8296,3.2701
0,20240116,5.47,0.9067,1.14,32.2982,3.2172
0,20240117,5.35,0.7589,0.95,31.5897,3.1466
0,20240118,5.32,1.0093,1.27,31.4125,3.129
0,20240119,5.23,0.7793,0.96,30.8811,3.076
0,20240122,4.86,1.2977,1.56,28.6964,2.8584
0,20240123,4.98,1.058,1.11,29.405,2.929
0,20240124,5.07,1.0018,1.02,29.9364,2.9819
0,20240125,5.22,1.2638,1.23,30.8221,3.0702
0,20240126,5.21,0.9482,0.88,30.763,3.0643
0,20240129,5.08,0.9817,0.88,29.9954,2.9878
0,20240130,4.99,0.8308,0.79,29.464,2.9349
0,20240131,4.72,1.487,1.48,27.8698,2.7761
0,20240201,4.7,1.0878,0.99,27.7517,2.7643
0,20240202,4.55,1.5641,1.47,26.866,2.6761
0,20240205,4.31,1.8964,1.59,25.4489,2.5349
0,20240206,4.72,1.9233,1.4,27.8698,2.7761
0,20240207,5.01,1.7793,1.12,29.5821,2.9467
0,20240208,5.21,2.3212,1.41,30.763,3.0643
0,20240219,5.12,1.7014,0.9,30.2316,3.0114
0,20240220,5.12,1.1413,0.59,30.2316,3.0114
0,20240221,5.14,1.4796,0.83,30.3497,3.0231
0,20240222,5.3,1.4284,0.85,31.2944,3.1172
0,20240223,5.36,1.4788,0.92,31.6487,3.1525
0,20240226,5.43,1.6964,1.17,32.062,3.1937
0,20240227,5.6,1.606,1.11,33.0658,3.2937
0,20240228,5.27,2.2885,1.49,31.1173,3.0996
0,20240229,5.52,1.4863,0.87,32.5934,3.2466
0,20240301,5.64,2.5732,1.5,33.302,3.136
0,20240304,5.63,2.2449,1.16,33.2429,3.1304
0,20240305,5.52,1.6609,0.81,32.5934,3.0693
0,20240306,5.51,1.5816,0.77,32.5344,3.0637
0,20240307,5.37,1.3344,0.7,31.7077,2.9859
0,20240308,5.44,1.1385,0.61,32.1211,3.0248
0,20240311,5.58,1.5848,1.0,32.9477,3.1026
0,20240312,5.64,1.7871,1.22,33.302,3.136
0,20240313,5.71,1.907,1.28,33.7153,3.1749
0,20240314,5.61,1.5667,1.01,33.1249,3.1193
0,20240315,5.64,1.1485,0.72,33.302,3.136
0,20240318,5.7,1.3733,0.86,33.6563,3.1694
0,20240319,5.66,0.9721,0.62,33.4201,3.1471
0,20240320,5.76,1.4165,1.02,34.0105,3.2027
0,20240321,5.73,1.2293,0.95,33.8334,3.1861
0,20240322,5.68,1.3436,1.09,33.5382,3.1583
0,20240325,5.54,1.3549,1.07,32.7115,3.0804
0,20240326,5.44,1.3238,1.05,32.1211,3.0248
0,20240327,5.16,1.3098,0.98,30.4678,2.8691
0,20240328,5.35,1.5701,1.2,31.5897,2.9748
0,20240329,5.38,1.0533,0.76,31.7668,2.9914
0,20240401,5.59,1.5189,1.15,30.9407,3.1082
0,20240402,5.56,1.3639,1.01,30.7747,3.0915
0,20240403,5.39,1.601,1.17,29.8337,2.997
