,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,5.85,1.0245,1.12,8.2265,1.5563
0,20240103,5.94,0.9985,1.03,8.3531,1.5802
0,20240104,5.96,0.8474,0.86,8.3812,1.5856
0,20240105,5.82,0.77,0.78,8.1843,1.5483
0,20240108,5.7,0.6974,0.76,8.0156,1.5164
0,20240109,5.72,0.9276,1.07,8.0437,1.5217
0,20240110,5.67,0.874,1.03,7.9734,1.5084
0,20240111,5.67,1.1055,1.34,7.9734,1.5084
0,20240112,5.71,1.0224,1.17,8.0296,1.5191
0,20240115,5.68,0.5369,0.58,7.9875,1.5111
0,20240116,5.62,0.9954,1.11,7.9031,1.4951
0,20240117,5.43,0.7745,0.85,7.6359,1.4446
0,20240118,5.43,0.9413,1.06,7.6359,1.4446
0,20240119,5.36,0.7631,0.89,7.5375,1.4259
0,20240122,5.08,1.0818,1.35,7.1437,1.3515
0,20240123,5.22,1.1908,1.31,7.3406,1.3887
0,20240124,5.24,0.8691,0.91,7.3687,1.394
0,20240125,5.38,0.9881,1.02,7.5656,1.4313
0,20240126,5.39,0.7574,0.77,7.5796,1.4339
0,20240129,5.45,1.2559,1.28,7.664,1.4499
0,20240130,5.39,0.918,0.91,7.5796,1.4339
0,20240131,5.22,1.0084,1.05,7.3406,1.3887
0,20240201,5.22,0.7641,0.78,7.3406,1.3887
0,20240202,5.01,0.9554,1.02,7.0453,1.3328
0,20240205,4.89,1.3501,1.38,6.8765,1.3009
0,20240206,5.37,1.7814,1.78,7.5515,1.4286
0,20240207,5.86,2.4725,2.11,8.2406,1.559
0,20240208,6.0,2.2978,1.57,8.4375,1.5962
0,20240219,5.87,1.8054,1.02,8.2546,1.5616
0,20240220,5.89,0.9835,0.51,8.2828,1.5669
0,20240221,5.86,1.4219,0.76,8.2406,1.559
0,20240222,5.89,0.8972,0.5,8.2828,1.5669
0,20240223,5.88,0.9946,0.67,8.2687,1.5643
0,20240226,5.78,1.2235,1.0,8.1281,1.5377
0,20240227,5.82,1.1643,1.05,8.1843,1.5483
0,20240228,5.93,2.3583,2.07,8.339,1.5776
0,20240229,6.05,1.3637,1.03,8.5078,1.6095
0,20240301,6.05,0.9974,0.7,8.5078,1.6095
0,20240304,6.03,0.7499,0.53,8.4796,1.6042
0,20240305,6.01,1.0105,0.76,8.4515,1.5989
0,20240306,6.01,0.7803,0.6,8.4515,1.5989
0,20240307,6.12,1.5453,1.58,8.6062,1.6281
0,20240308,6.09,0.9421,0.93,8.564,1.6201
0,20240311,6.33,1.7354,1.73,8.9015,1.684
0,20240312,6.2,1.3261,1.1,8.7187,1.6494
0,20240313,6.13,0.8892,0.7,8.6203,1.6308
0,20240314,6.18,0.9651,0.75,8.6906,1.6441
0,20240315,6.34,1.5899,1.36,8.9156,1.6867
0,20240318,6.17,1.8599,1.43,8.6765,1.6414
0,20240319,6.13,0.8106,0.61,8.6203,1.6308
0,20240320,6.14,0.7034,0.58,8.6343,1.6335
0,20240321,6.14,0.7863,0.66,8.6343,1.6335
0,20240322,6.01,0.874,0.76,8.4515,1.5989
0,20240325,5.92,0.9268,0.92,8.304,1.5748
0,20240326,5.85,1.0037,1.22,8.2058,1.5562
0,20240327,5.72,0.8177,0.95,8.0235,1.5216
0,20240328,5.6,1.5139,1.72,7.8552,1.4897
0,20240329,5.7,0.8557,0.83,7.9954,1.5163
0,20240401,5.9,0.9303,0.91,8.276,1.5695
0,20240402,6.05,1.084,1.06,8.4864,1.6094
0,20240403,6.17,1.19,1.14,8.6547,1.6413
