,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,24.65,0.6167,0.7,4.3136,1.7819
0,20240103,24.86,0.6154,0.68,4.3503,1.797
0,20240104,24.3,0.637,0.66,4.2524,1.7566
0,20240105,24.0,0.5978,0.61,4.1999,1.7349
0,20240108,23.96,0.6179,0.88,4.1929,1.732
0,20240109,24.56,1.0235,1.66,4.2979,1.7753
0,20240110,24.86,0.9828,1.41,4.3504,1.797
0,20240111,25.25,0.9267,1.2,4.4186,1.8252
0,20240112,26.01,1.6022,1.93,4.5516,1.8802
0,20240115,25.68,0.9184,0.89,4.4938,1.8563
0,20240116,26.02,0.8532,0.78,4.5533,1.8809
0,20240117,25.26,0.6366,0.6,4.4203,1.8259
0,20240118,26.71,1.9241,1.95,4.6741,1.9308
0,20240119,26.08,1.1622,0.98,4.5638,1.8852
0,20240122,25.93,1.2504,1.14,4.5376,1.8744
0,20240123,26.25,1.1597,1.0,4.5936,1.8975
0,20240124,25.99,1.1881,0.97,4.5481,1.8787
0,20240125,26.15,1.2739,0.95,4.5761,1.8903
0,20240126,26.12,0.8055,0.67,4.5708,1.8881
0,20240129,24.48,1.3543,1.19,4.2839,1.7696
0,20240130,24.0,0.8454,0.73,4.1999,1.7349
0,20240131,23.3,0.838,0.77,4.0774,1.6843
0,20240201,24.72,1.5648,1.53,4.3259,1.7869
0,20240202,24.02,1.0441,0.97,4.2034,1.7363
0,20240205,23.83,0.9301,0.82,4.1701,1.7226
0,20240206,25.12,1.1627,1.11,4.3958,1.8158
0,20240207,25.61,1.1687,1.05,4.4816,1.8512
0,20240208,25.98,0.9577,0.82,4.5463,1.878
0,20240219,26.0,0.6644,0.63,4.5498,1.8794
0,20240220,25.65,0.5974,0.61,4.4886,1.8541
0,20240221,25.97,0.8762,0.96,4.5446,1.8773
0,20240222,26.23,0.6748,0.79,4.5901,1.8961
0,20240223,26.31,0.7434,0.99,4.6041,1.9018
0,20240226,25.94,0.6586,0.93,4.5393,1.8751
0,20240227,26.31,0.6801,0.96,4.6041,1.9018
0,20240228,26.0,1.1683,1.61,4.5498,1.8794
0,20240229,26.5,0.8027,1.02,4.6373,1.9156
0,20240301,26.78,0.8943,1.1,4.6863,1.9358
0,20240304,27.6,1.3562,1.61,4.8298,1.9951
0,20240305,27.05,0.9794,1.0,4.7336,1.9553
0,20240306,27.45,1.1768,1.13,4.8036,1.9843
0,20240307,26.7,1.0212,0.98,4.6723,1.93
0,20240308,27.1,0.9788,0.9,4.7423,1.959
0,20240311,27.67,1.4934,1.35,4.8421,2.0002
0,20240312,28.01,1.1953,1.06,4.9016,2.0247
0,20240313,27.54,0.7253,0.62,4.8193,1.9908
0,20240314,26.69,1.0521,0.97,4.6706,1.9293
0,20240315,26.52,0.6348,0.58,4.6408,1.917
0,20240318,26.71,0.7176,0.7,4.6741,1.9308
0,20240319,26.31,0.7173,0.83,4.6041,1.9018
0,20240320,26.35,0.4885,0.63,4.6111,1.9047
0,20240321,26.07,0.5155,0.71,4.5621,1.8845
0,20240322,25.52,0.6316,1.03,4.4658,1.8447
0,20240325,25.38,0.3969,0.65,4.4413,1.8346
0,20240326,25.46,0.5215,0.95,4.4553,1.8404
0,20240327,24.63,0.5706,1.12,4.3101,1.7804
0,20240328,24.7,0.4645,0.88,4.3224,1.7855
0,20240329,24.87,0.432,0.84,4.3521,1.7978
0,20240401,25.19,0.7577,1.59,4.4081,1.8209
0,20240402,25.25,0.5647,1.03,4.4186,1.8252
0,20240403,25.34,0.5368,0.96,4.4343,1.8317
