,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,8.24,0.7839,0.86,11.0604,1.3093
0,20240103,8.32,0.5638,0.63,11.1678,1.322
0,20240104,8.3,0.4151,0.54,11.1409,1.3188
0,20240105,8.3,0.8093,1.15,11.1409,1.3188
0,20240108,8.14,0.5205,0.76,10.9262,1.2934
0,20240109,8.22,0.5078,0.82,11.0335,1.3061
0,20240110,8.07,0.4337,0.77,10.8322,1.2823
0,20240111,8.14,0.4815,0.9,10.9262,1.2934
0,20240112,8.09,0.3713,0.67,10.859,1.2855
0,20240115,7.96,0.5362,1.16,10.6845,1.2648
0,20240116,7.79,0.8314,1.78,10.4564,1.2378
0,20240117,7.5,0.7997,1.51,10.0671,1.1917
0,20240118,7.38,0.9457,1.57,9.906,1.1726
0,20240119,7.27,0.5118,0.73,9.7584,1.1552
0,20240122,6.87,0.8668,1.2,9.2215,1.0916
0,20240123,6.87,0.8314,1.05,9.2215,1.0916
0,20240124,6.96,0.7283,0.92,9.3423,1.1059
0,20240125,7.39,1.0052,1.29,9.9194,1.1742
0,20240126,7.31,0.8302,1.05,9.8121,1.1615
0,20240129,7.19,0.7044,0.83,9.651,1.1425
0,20240130,6.9,0.9401,1.15,9.2617,1.0964
0,20240131,6.53,1.2741,1.51,8.7651,1.0376
0,20240201,6.41,1.3028,1.37,8.604,1.0185
0,20240202,6.18,1.3221,1.31,8.2953,0.982
0,20240205,5.56,1.869,1.69,7.4631,0.8835
0,20240206,5.87,1.8101,1.35,7.8792,0.9327
0,20240207,6.16,2.0315,1.34,8.2684,0.9788
0,20240208,6.39,1.7876,1.07,8.5772,1.0153
0,20240219,6.75,1.3553,0.77,9.0604,1.0725
0,20240220,6.66,0.8742,0.49,8.9396,1.0582
0,20240221,6.75,0.9962,0.63,9.0604,1.0725
0,20240222,6.91,0.7014,0.5,9.2751,1.098
0,20240223,7.03,0.7147,0.63,9.4362,1.117
0,20240226,6.9,0.7838,0.84,9.2617,1.0964
0,20240227,7.0,0.6102,0.75,9.396,1.1123
0,20240228,6.78,1.2892,1.69,9.1007,1.0773
0,20240229,6.94,0.7855,0.96,9.3154,1.1027
0,20240301,6.9,0.5904,0.71,9.2617,1.0964
0,20240304,6.9,0.8149,1.0,9.2617,1.0964
0,20240305,6.78,0.6506,0.8,9.1007,1.0773
0,20240306,6.89,0.6138,0.74,9.2483,1.0948
0,20240307,6.89,0.7328,1.06,9.2483,1.0948
0,20240308,7.01,0.9089,1.34,9.4094,1.1139
0,20240311,7.13,1.1453,1.54,9.5705,1.1329
0,20240312,7.03,0.9828,1.21,9.4362,1.117
0,20240313,7.05,0.7185,0.82,9.4631,1.1202
0,20240314,7.03,0.5992,0.67,9.4362,1.117
0,20240315,7.31,1.3036,1.5,9.8121,1.1615
0,20240318,7.22,1.3689,1.44,9.6913,1.1472
0,20240319,7.19,0.7383,0.74,9.651,1.1425
0,20240320,7.22,0.5502,0.58,9.6913,1.1472
0,20240321,7.14,0.5587,0.61,9.5839,1.1345
0,20240322,6.98,0.6339,0.7,9.3691,1.1091
0,20240325,7.24,1.8509,2.4,9.7181,1.1504
0,20240326,7.53,2.5769,2.97,10.1074,1.1965
0,20240327,7.44,2.6987,2.19,9.9866,1.1822
0,20240328,7.39,1.4616,0.88,9.9194,1.1742
0,20240329,7.45,1.2426,0.67,10.0,1.1838
0,20240401,7.43,1.0463,0.53,9.9731,1.1806
0,20240402,7.59,1.5192,0.84,10.1879,1.206
0,20240403,7.6,1.0041,0.63,10.2013,1.2076
