,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,17.11,2.1147,0.92,41.8516,2.3831
0,20240103,17.1,2.0618,0.85,41.8272,2.3817
0,20240104,17.24,4.5747,1.89,42.1696,2.4012
0,20240105,16.67,3.8255,1.29,40.7754,2.3218
0,20240108,16.32,1.7903,0.59,39.9193,2.273
0,20240109,16.61,2.0962,0.73,40.6286,2.3134
0,20240110,16.4,1.8518,0.65,40.115,2.2842
0,20240111,16.72,2.0402,0.72,40.8977,2.3287
0,20240112,16.77,2.1357,0.92,41.02,2.3357
0,20240115,16.51,1.6832,0.85,40.384,2.2995
0,20240116,16.27,2.7636,1.41,39.797,2.2661
0,20240117,15.71,1.8832,0.9,38.4272,2.1881
0,20240118,15.55,3.1669,1.51,38.0358,2.1658
0,20240119,15.06,1.8641,0.8,36.8373,2.0975
0,20240122,13.87,3.3964,1.49,33.9265,1.9318
0,20240123,13.82,2.5068,0.96,33.8042,1.9248
0,20240124,14.08,2.6854,1.05,34.4402,1.961
0,20240125,14.64,2.8876,1.06,35.8099,2.039
0,20240126,14.63,2.2935,0.86,35.7855,2.0376
0,20240129,14.12,1.8034,0.65,34.538,1.9666
0,20240130,13.71,1.5325,0.63,33.5351,1.9095
0,20240131,12.84,2.714,1.21,31.4071,1.7883
0,20240201,12.58,2.1021,0.94,30.7711,1.7521
0,20240202,11.8,3.1689,1.52,28.8632,1.6435
0,20240205,10.62,3.391,1.5,25.9769,1.4791
0,20240206,11.09,5.1278,1.99,27.1265,1.5446
0,20240207,11.03,4.1008,1.24,26.9798,1.5362
0,20240208,11.92,3.7303,1.04,29.1567,1.6602
0,20240219,12.26,3.5493,0.91,29.9884,1.7076
0,20240220,12.41,2.1657,0.54,30.3553,1.7285
0,20240221,12.5,3.18,0.85,30.5754,1.741
0,20240222,12.8,3.1153,0.93,31.3092,1.7828
0,20240223,13.38,3.9253,1.25,32.7279,1.8636
0,20240226,13.69,6.2134,1.95,33.4862,1.9067
0,20240227,14.17,4.0815,1.1,34.6603,1.9736
0,20240228,12.83,6.0842,1.48,31.3826,1.7869
0,20240229,13.51,3.9022,0.83,33.0459,1.8817
0,20240301,13.66,3.0526,0.63,33.4128,1.9025
0,20240304,13.56,3.1758,0.68,33.1682,1.8886
0,20240305,13.1,3.2258,0.79,32.043,1.8246
0,20240306,13.57,4.089,1.05,33.1927,1.89
0,20240307,13.57,4.7278,1.36,33.1927,1.89
0,20240308,13.74,2.6323,0.72,33.6085,1.9137
0,20240311,14.09,3.9215,1.1,34.4646,1.9624
0,20240312,14.15,3.8815,1.04,34.6114,1.9708
0,20240313,14.23,3.2308,0.84,34.8071,1.9819
0,20240314,14.31,3.8807,1.05,35.0027,1.9931
0,20240315,14.61,4.4136,1.26,35.7366,2.0349
0,20240318,14.86,4.6241,1.2,36.3481,2.0697
0,20240319,15.57,14.1588,3.53,38.0847,2.1686
0,20240320,15.39,8.0113,1.32,37.6445,2.1435
0,20240321,15.73,6.8452,0.98,38.4761,2.1909
0,20240322,15.11,6.0245,0.79,36.9596,2.1045
0,20240325,14.38,4.5172,0.57,35.174,2.0028
0,20240326,14.5,3.5039,0.44,35.4675,2.0195
0,20240327,13.71,2.685,0.46,33.5351,1.9095
0,20240328,14.27,3.6969,0.78,34.9049,1.9875
0,20240329,14.62,3.1016,0.76,27.4258,2.0117
0,20240401,14.78,2.9734,0.85,27.726,2.0337
0,20240402,15.13,6.0543,1.9,28.3825,2.0819
0,20240403,14.62,3.4649,0.94,27.4258,2.0117
