,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,5.23,0.6584,1.1,51.2771,2.6437
0,20240103,5.23,0.7181,1.16,51.2771,2.6437
0,20240104,5.19,0.4765,0.75,50.8849,2.6235
0,20240105,5.11,0.695,1.09,50.1006,2.5831
0,20240108,4.99,0.6365,1.0,48.924,2.5224
0,20240109,4.95,0.6564,1.03,48.5319,2.5022
0,20240110,4.89,0.53,0.83,47.9436,2.4719
0,20240111,5.04,0.7003,1.17,49.4143,2.5477
0,20240112,4.96,0.4866,0.76,48.6299,2.5073
0,20240115,4.95,0.5155,0.86,48.5319,2.5022
0,20240116,4.95,0.7777,1.35,48.5319,2.5022
0,20240117,4.79,0.676,1.12,46.9632,2.4213
0,20240118,4.81,0.8923,1.41,47.1593,2.4314
0,20240119,4.75,0.6376,0.95,46.571,2.4011
0,20240122,4.48,1.0415,1.49,43.9238,2.2646
0,20240123,4.51,0.8268,1.03,44.2179,2.2798
0,20240124,4.58,0.908,1.11,44.9042,2.3152
0,20240125,4.79,1.1142,1.29,46.9632,2.4213
0,20240126,4.75,0.691,0.76,46.571,2.4011
0,20240129,4.51,0.9602,1.05,44.2179,2.2798
0,20240130,4.4,0.7649,0.85,43.1394,2.2242
0,20240131,4.18,1.2186,1.37,40.9825,2.113
0,20240201,4.17,1.0519,1.11,40.8844,2.1079
0,20240202,3.97,1.5746,1.68,38.9235,2.0068
0,20240205,3.57,2.0818,1.87,35.0018,1.8046
0,20240206,3.64,1.9128,1.43,35.6881,1.84
0,20240207,3.61,1.9372,1.24,35.394,1.8248
0,20240208,3.96,2.2316,1.3,38.8255,2.0018
0,20240219,4.19,1.9843,1.02,41.0805,2.118
0,20240220,4.24,1.253,0.62,41.5707,2.1433
0,20240221,4.24,1.4474,0.78,41.5707,2.1433
0,20240222,4.42,1.586,0.9,43.3355,2.2343
0,20240223,4.61,1.8444,1.08,45.1984,2.3303
0,20240226,4.61,1.6704,1.03,45.1984,2.3303
0,20240227,4.87,1.8681,1.2,47.7475,2.4618
0,20240228,4.56,3.5948,2.14,44.7081,2.3051
0,20240229,4.78,2.0459,0.97,46.8651,2.4163
0,20240301,4.96,2.3795,1.08,48.6299,2.5073
0,20240304,4.95,1.6742,0.72,48.5319,2.5022
0,20240305,4.82,1.5144,0.65,47.2573,2.4365
0,20240306,4.85,1.0779,0.48,47.5514,2.4516
0,20240307,4.76,1.2148,0.7,46.669,2.4062
0,20240308,4.9,1.3639,0.87,48.0417,2.4769
0,20240311,4.93,1.0623,0.78,48.3358,2.4921
0,20240312,4.94,1.1468,0.92,48.4338,2.4971
0,20240313,4.98,1.3838,1.18,48.826,2.5174
0,20240314,4.92,1.1506,0.93,48.2377,2.487
0,20240315,4.95,1.0757,0.88,48.5319,2.5022
0,20240318,5.04,1.2953,1.11,49.4143,2.5477
0,20240319,5.14,2.2726,1.88,50.3947,2.5982
0,20240320,5.27,3.5384,2.46,51.6693,2.664
0,20240321,5.2,2.4158,1.29,50.983,2.6286
0,20240322,5.27,2.0102,0.95,51.6693,2.664
0,20240325,5.06,2.1088,0.91,49.6104,2.5578
0,20240326,5.0,1.5182,0.61,49.0221,2.5275
0,20240327,4.79,1.4188,0.61,46.9632,2.4213
0,20240328,4.96,1.2644,0.67,48.6299,2.5073
0,20240329,5.02,1.0491,0.63,49.2182,2.5376
0,20240401,5.16,1.6674,1.13,50.5908,2.6084
0,20240402,5.09,1.1086,0.8,49.9045,2.573
0,20240403,4.99,1.0011,0.77,48.924,2.5224
