,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,7.3,1.2626,1.04,,6.8194
0,20240103,7.25,1.1224,0.92,,6.7727
0,20240104,7.26,0.9301,0.78,,6.7821
0,20240105,7.14,1.2323,1.01,,6.67
0,20240108,7.03,1.0582,0.91,,6.5672
0,20240109,7.05,0.7338,0.65,,6.5859
0,20240110,6.99,0.9732,0.96,,6.5298
0,20240111,7.05,0.8717,0.88,,6.5859
0,20240112,7.03,0.9172,0.94,,6.5672
0,20240115,7.05,0.7765,0.85,,6.5859
0,20240116,7.0,1.0295,1.2,,6.5392
0,20240117,6.9,0.8195,0.9,,6.4458
0,20240118,6.75,1.7094,1.94,,6.3056
0,20240119,6.68,0.652,0.62,,6.2402
0,20240122,6.24,2.0866,2.09,,5.8292
0,20240123,6.19,1.383,1.1,,5.7825
0,20240124,6.32,1.496,1.12,,5.9039
0,20240125,6.46,1.5708,1.07,,6.0347
0,20240126,6.58,2.1231,1.48,,6.1468
0,20240129,6.46,1.3465,0.78,,6.0347
0,20240130,6.36,1.1576,0.73,,5.9413
0,20240131,6.07,1.5726,1.02,,5.6704
0,20240201,5.98,1.3481,0.87,,5.5863
0,20240202,5.78,2.0739,1.37,,5.3995
0,20240205,5.37,2.516,1.68,,5.0165
0,20240206,5.61,2.161,1.25,,5.2407
0,20240207,5.62,1.8957,0.98,,5.25
0,20240208,5.91,2.4717,1.24,,5.5209
0,20240219,6.0,1.9589,0.88,,5.605
0,20240220,5.97,1.5414,0.7,,5.577
0,20240221,6.05,2.2195,1.11,,5.6517
0,20240222,6.15,1.8685,0.93,,5.7451
0,20240223,6.18,2.0443,1.02,,5.7732
0,20240226,6.19,1.9697,1.02,,5.7825
0,20240227,6.28,1.9932,1.03,,5.8666
0,20240228,6.91,9.6303,4.77,,6.4551
0,20240229,7.18,13.2774,3.79,,6.7073
0,20240301,6.93,7.8482,1.36,,6.4738
0,20240304,7.01,7.0212,1.01,,6.5485
0,20240305,6.73,4.7084,0.59,,6.2869
0,20240306,6.75,2.9442,0.35,,6.3056
0,20240307,6.72,2.8732,0.4,,6.2776
0,20240308,6.63,2.5585,0.5,,6.1935
0,20240311,6.71,2.2507,0.56,,6.2683
0,20240312,6.79,3.1093,1.01,,6.343
0,20240313,6.83,3.7212,1.35,,6.3804
0,20240314,6.68,2.1152,0.73,,6.2402
0,20240315,6.73,1.2908,0.47,,6.2869
0,20240318,6.76,2.015,0.81,,6.315
0,20240319,6.85,3.8618,1.58,,6.399
0,20240320,6.81,2.2746,0.87,,6.3617
0,20240321,6.92,3.7122,1.61,,6.4644
0,20240322,6.68,3.2423,1.23,,6.2402
0,20240325,6.52,1.7942,0.59,,6.0908
0,20240326,6.52,1.5633,0.53,,6.0908
0,20240327,6.66,3.3469,1.33,,6.2216
0,20240328,6.64,2.1435,0.78,,6.2029
0,20240329,6.72,1.8104,0.75,,6.2776
0,20240401,6.76,1.9534,0.92,151.3797,6.2572
0,20240402,6.83,2.6608,1.23,152.9472,6.322
0,20240403,6.94,3.9022,1.64,155.4105,6.4238
