,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,24.27,0.5104,0.84,43.9305,3.7644
0,20240103,24.18,0.5832,0.95,43.7676,3.7504
0,20240104,23.49,0.5195,0.77,42.5187,3.6434
0,20240105,23.48,0.4627,0.69,42.5006,3.6419
0,20240108,22.83,0.4882,0.89,41.324,3.541
0,20240109,22.64,0.4947,0.96,40.9801,3.5116
0,20240110,22.91,0.5803,1.14,41.4688,3.5535
0,20240111,23.14,0.3953,0.78,41.8851,3.5891
0,20240112,23.05,0.3242,0.67,41.7222,3.5752
0,20240115,23.02,0.3041,0.67,41.6679,3.5705
0,20240116,23.01,0.4318,1.03,41.6498,3.569
0,20240117,22.17,0.4355,1.07,40.1294,3.4387
0,20240118,22.15,0.6696,1.77,40.0932,3.4356
0,20240119,22.04,0.3956,0.91,39.8941,3.4185
0,20240122,21.07,0.5404,1.21,38.1383,3.2681
0,20240123,20.84,0.6134,1.24,37.722,3.2324
0,20240124,20.78,0.5088,0.96,37.6134,3.2231
0,20240125,21.5,0.6386,1.17,38.9166,3.3348
0,20240126,21.31,0.5454,1.01,38.5727,3.3053
0,20240129,21.26,0.6233,1.09,38.4822,3.2975
0,20240130,20.59,0.6251,1.07,37.2694,3.1936
0,20240131,19.75,0.6545,1.11,35.749,3.0633
0,20240201,19.43,0.6386,1.03,35.1698,3.0137
0,20240202,18.73,0.8663,1.4,33.9027,2.9051
0,20240205,18.0,1.0159,1.49,32.5814,2.7919
0,20240206,19.2,0.9048,1.19,34.7534,2.978
0,20240207,20.44,1.2447,1.53,36.9979,3.1703
0,20240208,20.89,1.0875,1.16,37.8125,3.2401
0,20240219,20.72,1.0841,1.06,37.5048,3.2138
0,20240220,20.47,0.4959,0.46,37.0522,3.175
0,20240221,20.98,1.1574,1.2,37.9754,3.2541
0,20240222,20.84,0.8055,0.79,37.722,3.2324
0,20240223,20.97,0.7558,0.82,37.9573,3.2526
0,20240226,20.68,0.6817,0.79,37.4324,3.2076
0,20240227,20.87,0.6683,0.86,37.7763,3.237
0,20240228,20.28,1.1283,1.39,36.7083,3.1455
0,20240229,20.9,0.8991,1.11,37.8306,3.2417
0,20240301,20.9,0.637,0.77,37.8306,3.2417
0,20240304,20.73,0.4836,0.6,37.5229,3.2153
0,20240305,20.83,0.6734,0.88,37.7039,3.2308
0,20240306,20.6,0.541,0.71,37.2876,3.1952
0,20240307,20.36,0.4062,0.63,36.8531,3.1579
0,20240308,20.25,0.4641,0.85,36.654,3.1409
0,20240311,21.04,0.9395,1.83,38.084,3.2634
0,20240312,22.11,1.7058,2.82,40.0208,3.4294
0,20240313,21.96,1.0723,1.32,39.7493,3.4061
0,20240314,22.05,0.8896,0.97,39.9122,3.4201
0,20240315,22.45,0.9015,0.89,40.6362,3.4821
0,20240318,21.85,1.6594,1.51,33.703,3.3324
0,20240319,21.86,1.2931,1.04,33.7184,3.3339
0,20240320,21.74,0.7382,0.63,33.5333,3.3156
0,20240321,21.61,0.7885,0.72,33.3328,3.2958
0,20240322,21.13,0.6971,0.65,32.5924,3.2226
0,20240325,20.52,0.5473,0.53,31.6515,3.1296
0,20240326,20.6,0.5921,0.73,31.7749,3.1418
0,20240327,20.03,0.5007,0.74,30.8957,3.0548
0,20240328,19.91,0.7442,1.19,30.7106,3.0365
0,20240329,19.94,0.7351,1.19,30.7568,3.0411
0,20240401,20.8,0.9105,1.46,32.0834,3.1723
0,20240402,20.45,0.7114,1.02,31.5435,3.1189
0,20240403,20.36,0.4687,0.65,31.4047,3.1052
