,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,1.77,1.2711,1.36,,2.3426
0,20240103,1.81,1.3864,1.31,,2.3955
0,20240104,1.78,0.8859,0.83,,2.3558
0,20240105,1.74,0.9069,0.84,,2.3029
0,20240108,1.7,0.8482,0.82,,2.2499
0,20240109,1.69,0.6841,0.65,,2.2367
0,20240110,1.7,0.722,0.77,,2.2499
0,20240111,1.72,0.7423,0.92,,2.2764
0,20240112,1.73,1.064,1.36,,2.2897
0,20240115,1.71,0.6662,0.82,,2.2632
0,20240116,1.69,0.9903,1.28,,2.2367
0,20240117,1.66,0.7335,0.88,,2.197
0,20240118,1.65,0.9923,1.18,,2.1838
0,20240119,1.64,0.5345,0.6,,2.1705
0,20240122,1.56,1.0112,1.29,,2.0647
0,20240123,1.57,0.7996,0.94,,2.0779
0,20240124,1.61,0.9631,1.18,,2.1308
0,20240125,1.64,0.8084,0.94,,2.1705
0,20240126,1.66,0.9318,1.13,,2.197
0,20240129,1.59,0.8925,0.99,,2.1044
0,20240130,1.56,0.6725,0.77,,2.0647
0,20240131,1.46,1.4463,1.69,,1.9323
0,20240201,1.44,0.8881,0.93,,1.9058
0,20240202,1.4,1.5748,1.63,,1.8529
0,20240205,1.3,1.6199,1.48,,1.7205
0,20240206,1.33,1.3447,1.08,,1.7603
0,20240207,1.28,1.0738,0.78,,1.6941
0,20240208,1.39,1.5145,1.16,,1.8397
0,20240219,1.43,0.9774,0.69,,1.8926
0,20240220,1.42,0.5503,0.42,,1.8794
0,20240221,1.44,1.0581,0.97,,1.9058
0,20240222,1.45,0.9228,0.89,,1.9191
0,20240223,1.46,1.038,1.03,,1.9323
0,20240226,1.51,1.5177,1.67,,1.9985
0,20240227,1.52,0.8987,0.88,,2.0117
0,20240228,1.46,1.8024,1.66,,1.9323
0,20240229,1.5,1.0717,0.87,,1.9852
0,20240301,1.49,0.7234,0.57,,1.972
0,20240304,1.47,0.749,0.62,,1.9455
0,20240305,1.43,0.8374,0.8,,1.8926
0,20240306,1.45,0.6796,0.66,,1.9191
0,20240307,1.45,0.8958,1.1,,1.9191
0,20240308,1.46,0.4372,0.56,,1.9323
0,20240311,1.48,0.7688,1.07,,1.9588
0,20240312,1.48,0.7781,1.08,,1.9588
0,20240313,1.5,1.0511,1.48,,1.9852
0,20240314,1.48,0.9446,1.2,,1.9588
0,20240315,1.63,2.1669,2.72,,2.1573
0,20240318,1.6,3.1336,2.74,,2.1176
0,20240319,1.58,1.3683,0.85,,2.0911
0,20240320,1.58,1.1111,0.64,,2.0911
0,20240321,1.57,0.8448,0.48,,2.0779
0,20240322,1.54,1.0135,0.59,,2.0382
0,20240325,1.58,2.3437,1.57,,2.0911
0,20240326,1.57,1.3082,0.98,,2.0779
0,20240327,1.5,0.8856,0.67,,1.9852
0,20240328,1.52,0.7694,0.6,,2.0117
0,20240329,1.53,0.4361,0.34,,2.025
0,20240401,1.56,0.8229,0.72,,2.0647
0,20240402,1.62,2.1396,2.53,,2.1441
0,20240403,1.63,1.4322,1.42,,2.1573
