,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,5.08,1.5156,1.51,69.8551,3.0307
0,20240103,5.45,8.1503,6.84,74.9429,3.2514
0,20240104,5.6,9.0566,3.57,77.0056,3.3409
0,20240105,5.28,5.9012,1.43,72.6053,3.15
0,20240108,5.29,3.6228,0.71,72.7428,3.156
0,20240109,5.22,3.3998,0.6,71.7802,3.1142
0,20240110,5.08,2.9895,0.5,69.8551,3.0307
0,20240111,5.13,2.2058,0.44,70.5426,3.0605
0,20240112,5.03,1.8465,0.51,69.1675,3.0009
0,20240115,5.02,1.3889,0.49,69.03,2.9949
0,20240116,4.96,2.029,0.86,68.2049,2.9591
0,20240117,4.83,1.2023,0.57,66.4173,2.8816
0,20240118,4.65,2.3976,1.38,63.9421,2.7742
0,20240119,4.57,1.1625,0.66,62.842,2.7264
0,20240122,4.29,1.591,0.97,58.9918,2.5594
0,20240123,4.21,1.4647,0.87,57.8917,2.5117
0,20240124,4.3,1.3819,0.88,59.1293,2.5654
0,20240125,4.47,1.401,0.88,61.4669,2.6668
0,20240126,4.56,1.2388,0.88,62.7045,2.7205
0,20240129,4.43,0.8718,0.62,60.9169,2.6429
0,20240130,4.28,0.8837,0.69,58.8543,2.5534
0,20240131,4.08,1.3909,1.2,56.1041,2.4341
0,20240201,3.89,1.575,1.36,53.4914,2.3208
0,20240202,3.73,1.4537,1.22,51.2912,2.2253
0,20240205,3.36,1.7121,1.39,46.2033,2.0046
0,20240206,3.23,2.3796,1.7,44.4157,1.927
0,20240207,3.17,2.0074,1.18,43.5907,1.8912
0,20240208,3.49,1.8903,1.04,47.991,2.0821
0,20240219,3.59,1.6686,0.88,49.3661,2.1418
0,20240220,3.65,1.0252,0.53,50.1911,2.1776
0,20240221,3.73,1.486,0.83,51.2912,2.2253
0,20240222,3.8,1.0045,0.62,52.2538,2.2671
0,20240223,3.95,1.2157,0.86,54.3164,2.3565
0,20240226,4.03,1.2874,1.01,55.4165,2.4043
0,20240227,4.07,0.9369,0.78,55.9665,2.4281
0,20240228,3.83,2.1619,1.82,52.6663,2.285
0,20240229,3.98,1.1967,0.91,54.729,2.3744
0,20240301,3.98,0.8957,0.66,54.729,2.3744
0,20240304,3.96,0.7467,0.58,54.4539,2.3625
0,20240305,3.87,0.8085,0.68,53.2163,2.3088
0,20240306,3.91,0.5513,0.47,53.7664,2.3327
0,20240307,3.95,0.7817,0.93,54.3164,2.3565
0,20240308,3.93,0.5615,0.74,54.0414,2.3446
0,20240311,4.02,0.6671,0.97,55.279,2.3983
0,20240312,4.06,0.726,1.08,55.829,2.4222
0,20240313,4.03,0.6518,0.99,55.4165,2.4043
0,20240314,4.0,0.6608,0.98,55.004,2.3864
0,20240315,4.09,0.8589,1.31,56.2416,2.4401
0,20240318,4.14,0.7911,1.11,56.9291,2.4699
0,20240319,4.16,0.8515,1.15,57.2041,2.4818
0,20240320,4.19,0.6865,0.9,57.6167,2.4997
0,20240321,4.24,0.9319,1.21,58.3042,2.5296
0,20240322,4.19,0.8752,1.06,57.6167,2.4997
0,20240325,4.1,0.6078,0.73,56.3791,2.446
0,20240326,4.11,0.5975,0.76,56.5166,2.452
0,20240327,4.0,0.6108,0.83,55.004,2.3864
0,20240328,4.06,0.5515,0.76,55.829,2.4222
0,20240329,4.15,0.6263,0.97,57.0666,2.4759
0,20240401,4.23,0.7687,1.28,58.1667,2.5236
0,20240402,4.48,4.556,7.22,61.6045,2.6727
0,20240403,4.53,4.4578,3.13,62.292,2.7026
