,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,15.0,8.2693,0.58,63.2073,4.2008
0,20240103,14.14,9.0663,0.78,59.5872,3.9594
0,20240104,13.69,5.5447,0.55,57.6908,3.8333
0,20240105,13.21,5.1341,0.54,55.6681,3.6989
0,20240108,13.26,4.0405,0.51,55.8788,3.7129
0,20240109,14.59,5.518,0.86,61.4835,4.0854
0,20240110,14.1,10.5908,1.81,59.4186,3.9482
0,20240111,14.31,6.6538,1.08,60.3036,4.007
0,20240112,13.75,5.0694,0.79,57.9437,3.8501
0,20240115,13.65,3.3632,0.53,57.5223,3.8221
0,20240116,13.27,3.6704,0.59,55.9209,3.7157
0,20240117,12.83,4.7313,0.81,54.0667,3.5925
0,20240118,12.65,4.4254,0.94,53.3082,3.5421
0,20240119,12.46,2.5707,0.6,52.5075,3.4889
0,20240122,11.7,3.1358,0.84,49.3048,3.2761
0,20240123,11.62,2.6964,0.73,48.9677,3.2537
0,20240124,11.78,2.6744,0.76,49.6419,3.2985
0,20240125,12.05,2.7512,0.89,50.7797,3.3741
0,20240126,12.01,2.5616,0.93,50.6112,3.3629
0,20240129,11.46,2.231,0.81,48.2934,3.2089
0,20240206,12.61,3.0997,1.2,53.1397,3.5309
0,20240207,13.87,2.7328,1.03,58.4494,3.8837
0,20240208,13.09,17.0417,6.38,55.1624,3.6653
0,20240219,13.41,12.7209,2.3,56.5109,3.7549
0,20240220,12.99,8.1768,1.08,54.741,3.6373
0,20240221,13.11,9.3624,1.07,55.2467,3.6709
0,20240222,13.2,7.9844,0.8,55.626,3.6961
0,20240223,13.84,12.5224,1.13,58.323,3.8753
0,20240226,15.22,18.3715,1.81,64.1384,4.2618
0,20240227,15.16,14.1124,1.25,63.8856,4.245
0,20240228,13.64,11.4447,0.92,57.4802,3.8193
0,20240229,14.14,7.6815,0.6,59.5872,3.9593
0,20240301,13.98,6.0576,0.47,58.913,3.9145
0,20240304,13.96,5.4429,0.47,58.8287,3.9089
0,20240305,14.93,12.0067,1.34,62.9163,4.1806
0,20240306,14.88,9.7378,1.14,62.7091,4.166
0,20240307,14.2,7.0281,0.86,59.8433,3.9756
0,20240308,14.98,8.6482,1.07,63.1305,4.194
0,20240311,15.55,10.7002,1.25,65.5326,4.3536
0,20240312,15.22,7.6735,0.8,64.1419,4.2612
0,20240313,14.92,5.6935,0.65,62.8776,4.1772
0,20240314,14.63,4.7949,0.6,61.6555,4.096
0,20240315,16.09,10.825,1.44,67.8084,4.5047
0,20240318,16.66,21.3941,2.7,70.2105,4.6643
0,20240319,16.25,9.1286,0.91,68.4827,4.5495
0,20240320,16.44,6.9118,0.67,69.2834,4.6027
0,20240321,16.37,6.2026,0.58,68.9884,4.5831
0,20240322,15.65,6.1414,0.56,65.9541,4.3816
0,20240325,14.95,5.8393,0.59,63.0041,4.1856
0,20240326,15.6,8.3559,1.22,,4.4108
0,20240327,14.72,6.6211,0.99,,4.162
0,20240328,14.89,4.5672,0.69,,4.2101
0,20240329,14.81,3.8859,0.62,,4.1875
0,20240401,15.34,5.8227,0.99,,4.3373
0,20240402,14.81,4.1244,0.7,,4.1873
0,20240403,14.18,3.7531,0.75,,4.0092
