,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,36.14,5.3129,2.79,16.9332,1.7955
0,20240103,39.75,20.5441,8.02,18.6247,1.9748
0,20240104,37.5,25.078,3.95,17.5705,1.863
0,20240105,35.13,17.5924,1.59,16.46,1.7453
0,20240108,34.81,11.1224,0.79,16.3101,1.7294
0,20240109,35.4,11.2108,0.7,16.5865,1.7587
0,20240110,34.17,9.0574,0.53,16.0102,1.6976
0,20240111,34.81,7.0459,0.48,16.3101,1.7294
0,20240112,36.16,17.548,1.57,16.9426,1.7964
0,20240115,35.72,9.5198,0.85,16.7365,1.7746
0,20240116,35.01,7.0316,0.65,16.4038,1.7393
0,20240117,33.81,4.3826,0.44,15.8415,1.6797
0,20240118,33.28,5.7902,0.64,15.5932,1.6534
0,20240119,32.62,2.9893,0.34,15.284,1.6206
0,20240122,29.42,6.9425,1.17,13.7846,1.4616
0,20240123,28.73,4.9451,0.91,13.4613,1.4273
0,20240124,28.7,4.2197,0.84,13.4473,1.4258
0,20240125,29.96,4.5941,0.92,14.0376,1.4884
0,20240126,30.11,3.546,0.75,14.1079,1.4959
0,20240129,28.96,2.8678,0.59,13.5691,1.4387
0,20240130,27.85,3.0178,0.75,13.049,1.3836
0,20240131,25.95,4.3616,1.2,12.1588,1.2892
0,20240201,25.52,2.9776,0.81,11.9573,1.2678
0,20240202,24.39,3.8906,1.16,11.4278,1.2117
0,20240205,21.95,5.7404,1.68,10.2846,1.0905
0,20240206,22.36,5.2747,1.32,10.4767,1.1109
0,20240207,21.35,4.6128,1.04,10.0035,1.0607
0,20240208,23.49,5.1259,1.14,11.0061,1.167
0,20240219,24.22,5.0173,1.02,11.3482,1.2033
0,20240220,24.68,3.1368,0.61,11.5637,1.2261
0,20240221,25.09,3.5663,0.77,11.7558,1.2465
0,20240222,25.72,3.0301,0.71,12.051,1.2778
0,20240223,26.32,3.3321,0.84,12.3321,1.3076
0,20240226,27.15,4.8706,1.35,12.721,1.3488
0,20240227,27.42,3.7398,1.04,12.8475,1.3622
0,20240228,25.18,5.9417,1.6,11.798,1.251
0,20240229,26.03,4.1668,1.0,12.1962,1.2932
0,20240301,26.48,3.2511,0.74,12.4071,1.3155
0,20240304,26.59,3.192,0.73,12.4586,1.321
0,20240305,25.66,2.5795,0.64,12.0229,1.2748
0,20240306,28.23,5.502,1.44,13.227,1.4025
0,20240307,27.56,11.0697,2.96,12.9131,1.3692
0,20240308,27.69,5.7167,1.12,12.974,1.3757
0,20240311,27.84,4.22,0.75,13.0443,1.3831
0,20240312,27.75,3.9308,0.68,13.0021,1.3786
0,20240313,27.64,3.2552,0.53,12.9506,1.3732
0,20240314,27.34,3.7211,0.66,12.81,1.3583
0,20240315,28.11,4.8535,1.16,13.1708,1.3965
0,20240318,28.53,4.5231,1.13,13.3676,1.4174
0,20240319,28.6,4.3226,1.07,13.4004,1.4209
0,20240320,29.35,4.4126,1.07,13.7518,1.4581
0,20240321,29.01,4.774,1.09,13.5925,1.4412
0,20240322,28.31,3.0839,0.67,13.2645,1.4065
0,20240325,27.55,2.9819,0.71,12.9084,1.3687
0,20240326,27.68,2.7698,0.71,12.9693,1.3752
0,20240327,26.88,2.6124,0.72,12.5945,1.3354
0,20240328,27.15,2.5828,0.8,12.721,1.3488
0,20240329,27.82,2.7049,0.96,13.0349,1.3821
0,20240401,28.26,2.7692,1.01,13.2411,1.404
0,20240402,28.69,3.0766,1.14,13.4426,1.4253
0,20240403,28.65,2.4506,0.89,13.4238,1.4233
