,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,6.02,1.6409,1.58,15.9463,1.1207
0,20240103,6.04,1.2693,1.11,15.9992,1.1245
0,20240104,6.07,0.985,0.81,16.0787,1.1301
0,20240105,6.02,1.2751,1.03,15.9463,1.1207
0,20240108,5.94,1.1597,0.92,15.7344,1.1059
0,20240109,6.13,2.3267,1.84,16.2376,1.1412
0,20240110,6.11,4.9763,3.55,16.1847,1.1375
0,20240111,6.2,3.7149,1.73,16.4231,1.1543
0,20240112,6.1,3.6236,1.35,16.1582,1.1356
0,20240115,6.09,1.8851,0.6,16.1317,1.1338
0,20240116,6.04,1.7144,0.52,15.9992,1.1245
0,20240117,5.99,2.1132,0.66,15.8668,1.1152
0,20240118,5.88,2.6385,1.01,15.5754,1.0947
0,20240119,5.83,1.8309,0.76,15.443,1.0854
0,20240122,5.44,2.4031,1.18,14.4099,1.0128
0,20240123,5.33,3.3202,1.55,14.1185,0.9923
0,20240124,5.53,3.1984,1.3,14.6483,1.0295
0,20240125,5.95,3.5999,1.34,15.7608,1.1077
0,20240126,5.91,2.3203,0.81,15.6549,1.1003
0,20240129,5.72,2.3284,0.78,15.1516,1.0649
0,20240130,5.53,1.8307,0.62,14.6483,1.0295
0,20240131,5.23,2.826,1.06,13.8536,0.9737
0,20240201,5.14,3.3272,1.29,13.6152,0.9569
0,20240202,4.92,3.1638,1.25,13.0325,0.916
0,20240205,4.57,4.1919,1.56,12.1054,0.8508
0,20240206,4.7,4.8082,1.57,12.4497,0.875
0,20240207,4.72,4.551,1.24,12.5027,0.8787
0,20240208,5.19,5.3475,1.33,13.7477,0.9662
0,20240219,5.45,4.7661,1.08,14.4364,1.0146
0,20240220,5.51,2.209,0.47,14.5953,1.0258
0,20240221,5.69,2.7821,0.64,15.0721,1.0593
0,20240222,5.68,2.093,0.53,15.0456,1.0574
0,20240223,5.69,1.7308,0.5,15.0721,1.0593
0,20240226,5.86,2.7585,1.02,15.5224,1.091
0,20240227,5.97,2.0808,0.9,15.8138,1.1114
0,20240228,5.57,3.5879,1.57,14.7543,1.037
0,20240229,5.76,2.2487,0.92,15.2576,1.0723
0,20240301,6.0,3.3183,1.34,15.8933,1.117
0,20240304,6.44,5.5761,1.99,17.0588,1.1989
0,20240305,6.43,4.2529,1.26,17.0323,1.1971
0,20240306,6.54,4.2863,1.13,17.3237,1.2176
0,20240307,6.74,4.8805,1.24,17.8535,1.2548
0,20240308,6.95,5.135,1.15,18.4097,1.2939
0,20240311,7.22,4.4378,0.92,19.1249,1.3441
0,20240312,6.93,4.0201,0.87,18.3567,1.2902
0,20240313,6.96,2.0393,0.45,18.4362,1.2957
0,20240314,6.85,2.206,0.54,18.1448,1.2753
0,20240315,6.91,1.9498,0.55,18.3038,1.2864
0,20240318,7.02,2.248,0.77,18.5951,1.3069
0,20240319,7.0,1.3117,0.53,18.5422,1.3032
0,20240320,7.02,1.613,0.83,18.5951,1.3069
0,20240321,7.03,1.4376,0.77,18.6216,1.3088
0,20240322,7.05,1.5876,0.93,18.6746,1.3125
0,20240325,7.06,1.9475,1.19,18.7011,1.3144
0,20240326,7.03,2.348,1.49,18.6216,1.3088
0,20240327,7.0,1.9111,1.07,18.5422,1.3032
0,20240328,7.18,2.6801,1.45,19.019,1.3367
0,20240329,7.16,4.4992,2.14,13.7601,1.3032
0,20240401,7.03,4.2781,1.6,13.5102,1.2795
0,20240402,7.01,2.178,0.69,13.4718,1.2759
0,20240403,7.24,4.9856,1.6,13.9138,1.3177
