,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,27.17,0.361,1.17,17.6455,1.8057
0,20240103,27.06,0.2763,0.85,17.5741,1.7984
0,20240104,27.14,0.2473,0.77,17.626,1.8037
0,20240105,26.7,0.3133,0.97,17.3403,1.7745
0,20240108,25.96,0.3222,1.07,16.8597,1.7253
0,20240109,25.86,0.2401,0.79,16.7947,1.7187
0,20240110,25.71,0.226,0.81,16.6973,1.7087
0,20240111,26.03,0.2538,0.94,16.9051,1.73
0,20240112,25.73,0.2104,0.78,16.7103,1.71
0,20240115,25.74,0.1697,0.68,16.7168,1.7107
0,20240116,25.94,0.3276,1.49,16.8467,1.724
0,20240117,25.53,0.2289,0.96,16.5804,1.6967
0,20240118,25.86,0.3957,1.66,16.7947,1.7187
0,20240119,25.63,0.2568,0.96,16.6454,1.7034
0,20240122,24.44,0.415,1.51,15.8725,1.6243
0,20240123,25.12,0.3746,1.15,16.3141,1.6695
0,20240124,25.32,0.3692,1.1,16.444,1.6828
0,20240125,26.39,0.6061,1.67,17.1389,1.7539
0,20240126,26.04,0.3195,0.79,16.9116,1.7306
0,20240129,25.55,0.3156,0.76,16.5934,1.6981
0,20240130,24.89,0.2446,0.62,16.1648,1.6542
0,20240131,23.88,0.4109,1.11,15.5088,1.5871
0,20240201,23.95,0.3876,1.02,15.5543,1.5917
0,20240202,22.6,0.456,1.36,14.6775,1.502
0,20240205,22.52,0.7712,2.13,14.6256,1.4967
0,20240206,23.55,0.8571,1.89,15.2945,1.5652
0,20240207,24.71,0.96,1.67,16.0479,1.6422
0,20240208,25.33,0.8521,1.24,16.4505,1.6835
0,20240219,26.18,0.899,1.15,17.0026,1.7399
0,20240220,25.69,0.5862,0.68,16.6843,1.7074
0,20240221,26.02,0.8946,1.08,16.8986,1.7293
0,20240222,26.58,0.6216,0.74,17.2623,1.7665
0,20240223,26.93,0.6796,0.88,17.4896,1.7898
0,20240226,26.83,0.669,0.91,17.4247,1.7831
0,20240227,27.82,0.9234,1.34,18.0677,1.8489
0,20240228,26.67,0.9707,1.28,17.3208,1.7725
0,20240229,27.58,0.6657,0.86,17.9118,1.833
0,20240301,28.18,0.8895,1.14,18.3015,1.8729
0,20240304,28.04,0.7213,0.88,18.2105,1.8636
0,20240305,27.92,0.6678,0.8,18.1326,1.8556
0,20240306,27.97,0.5677,0.73,18.1651,1.8589
0,20240307,27.57,0.4875,0.69,17.9053,1.8323
0,20240308,28.47,0.7319,1.1,18.4898,1.8921
0,20240311,28.86,1.1445,1.8,18.7431,1.9181
0,20240312,28.08,0.9333,1.3,18.2365,1.8662
0,20240313,28.28,0.7808,1.01,18.3664,1.8795
0,20240314,28.04,0.5606,0.69,18.2105,1.8636
0,20240315,28.6,0.7271,0.88,18.5742,1.9008
0,20240318,28.92,0.6978,0.84,18.782,1.922
0,20240319,29.76,1.5016,2.03,19.3276,1.9779
0,20240320,29.86,2.2498,2.64,19.3925,1.9845
0,20240321,31.9,3.531,3.08,20.7174,2.1201
0,20240322,33.17,3.2689,1.88,21.5422,2.2045
0,20240325,30.19,2.4639,1.1,19.6068,2.0065
0,20240326,29.14,1.7287,0.66,18.9249,1.9367
0,20240327,26.59,2.0686,0.78,17.2688,1.7672
0,20240328,28.48,1.7481,0.67,18.4963,1.8928
0,20240329,29.42,1.3796,0.61,17.1858,1.972
0,20240401,29.89,1.2406,0.66,17.4604,2.0035
0,20240402,29.02,0.9815,0.6,16.9522,1.9452
0,20240403,27.89,1.1003,0.74,16.2921,1.8694
