,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,3.04,0.4319,1.09,18.5523,0.9201
0,20240103,3.06,0.5289,1.25,18.6743,0.9262
0,20240104,3.03,0.312,0.68,18.4913,0.9171
0,20240105,3.03,0.5141,1.2,18.4913,0.9171
0,20240108,2.99,0.4941,1.13,18.2471,0.905
0,20240109,2.99,0.4229,0.93,18.2471,0.8944
0,20240110,2.99,0.4388,0.97,18.2471,0.8944
0,20240111,3.02,0.4316,0.99,18.4302,0.9034
0,20240112,3.01,0.37,0.8,18.3692,0.9004
0,20240115,3.02,0.3581,0.83,18.4302,0.9034
0,20240116,3.02,0.5123,1.27,18.4302,0.9034
0,20240117,2.99,0.8422,2.0,18.2471,0.8944
0,20240118,2.98,1.3124,2.61,18.1861,0.8914
0,20240119,2.95,0.5977,0.88,18.003,0.8824
0,20240122,2.83,0.8541,1.18,17.2707,0.8465
0,20240123,2.89,0.7099,0.86,17.6369,0.8645
0,20240124,3.14,2.9261,3.39,19.1625,0.9393
0,20240125,3.15,2.7727,2.17,19.2236,0.9422
0,20240126,3.18,2.2449,1.43,19.4067,0.9512
0,20240129,3.11,1.5088,0.79,18.9795,0.9303
0,20240130,3.07,1.0609,0.52,18.7354,0.9183
0,20240131,2.98,1.3776,0.66,18.1861,0.8914
0,20240201,2.93,1.2834,0.72,17.881,0.8764
0,20240202,2.84,1.3942,0.93,17.3317,0.8495
0,20240205,2.69,1.3926,1.05,16.4163,0.8047
0,20240206,2.93,1.4933,1.15,17.881,0.8764
0,20240207,3.06,2.3336,1.68,18.6743,0.9153
0,20240208,3.07,2.1166,1.34,18.7354,0.9183
0,20240219,3.03,1.4667,0.84,18.4913,0.9064
0,20240220,3.04,1.0403,0.59,18.5523,0.9093
0,20240221,3.04,1.7588,1.04,18.5523,0.9093
0,20240222,3.06,1.0212,0.59,18.6743,0.9153
0,20240223,3.04,1.2192,0.82,18.5523,0.9093
0,20240226,3.02,1.015,0.78,18.4302,0.9034
0,20240227,3.05,1.0184,0.84,18.6133,0.9123
0,20240228,3.04,2.4701,2.05,18.5523,0.9093
0,20240229,3.09,1.5297,1.13,18.8574,0.9243
0,20240301,3.06,1.4361,0.99,18.6743,0.9153
0,20240304,3.03,0.8429,0.56,18.4913,0.9064
0,20240305,3.01,0.7932,0.54,18.3692,0.9004
0,20240306,3.0,0.8871,0.63,18.3082,0.8974
0,20240307,2.98,0.7516,0.68,18.1861,0.8914
0,20240308,2.98,0.7025,0.75,18.1861,0.8914
0,20240311,3.0,0.8383,1.05,18.3082,0.8974
0,20240312,3.01,0.7843,0.99,18.3692,0.9004
0,20240313,2.99,0.7347,0.93,18.2471,0.8944
0,20240314,2.98,0.665,0.87,18.1861,0.8914
0,20240315,3.01,0.7274,0.98,18.3692,0.9004
0,20240318,3.05,1.1989,1.6,14.4091,0.9127
0,20240319,3.0,0.8614,1.05,14.1729,0.8978
0,20240320,3.01,0.5484,0.65,14.2201,0.9008
0,20240321,3.03,1.2776,1.6,14.3146,0.9067
0,20240322,2.98,0.9341,1.01,14.0784,0.8918
0,20240325,2.93,0.8586,0.89,13.8422,0.8768
0,20240326,2.93,0.6594,0.74,13.8422,0.8768
0,20240327,2.9,0.624,0.73,13.7004,0.8678
0,20240328,2.91,0.7225,0.83,13.7477,0.8708
0,20240329,2.94,0.5805,0.76,13.8894,0.8798
0,20240401,2.99,0.7774,1.13,14.1256,0.8948
0,20240402,3.0,0.7158,1.06,14.1729,0.8978
0,20240403,3.0,0.5617,0.82,14.1729,0.8978
