,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,8.08,11.011,8.89,,2.5003
0,20240103,7.75,8.7319,2.65,,2.3982
0,20240104,7.83,5.6277,1.16,,2.423
0,20240105,7.73,5.2287,0.92,,2.392
0,20240108,7.54,3.303,0.52,,2.3332
0,20240109,7.64,2.8397,0.42,,2.3642
0,20240110,7.5,2.8291,0.55,,2.3209
0,20240111,7.48,2.5119,0.63,,2.3147
0,20240112,7.42,4.423,1.32,,2.2961
0,20240115,7.52,3.1048,0.98,,2.3271
0,20240116,7.37,2.3506,0.75,,2.2806
0,20240117,7.09,1.9559,0.64,,2.194
0,20240118,6.92,2.9393,1.02,,2.1414
0,20240119,6.8,1.1829,0.4,,2.1043
0,20240122,6.31,2.3382,1.01,,1.9526
0,20240123,6.38,1.7292,0.8,,1.9743
0,20240124,6.51,2.1423,1.06,,2.0145
0,20240125,6.67,1.7921,0.87,,2.064
0,20240126,6.71,1.2847,0.7,,2.0764
0,20240129,6.46,1.5323,0.83,,1.999
0,20240130,6.47,2.3984,1.41,,2.0021
0,20240131,6.2,1.8481,1.01,,1.9186
0,20240201,6.04,1.5931,0.9,,1.8691
0,20240202,5.73,1.886,1.09,,1.7731
0,20240205,5.23,2.7979,1.51,,1.6184
0,20240206,5.45,2.4609,1.17,,1.6865
0,20240207,5.5,2.0555,0.97,,1.702
0,20240208,5.87,2.4712,1.14,,1.8165
0,20240219,6.08,2.0416,0.87,,1.8815
0,20240220,6.08,1.1292,0.48,,1.8815
0,20240221,6.09,2.0307,1.0,,1.8845
0,20240222,6.2,1.9204,0.99,,1.9186
0,20240223,6.24,1.7948,0.94,,1.931
0,20240226,6.35,2.5643,1.44,,1.965
0,20240227,6.47,1.7091,0.91,,2.0021
0,20240228,6.72,9.2077,4.59,,2.0795
0,20240229,7.39,11.04,3.21,,2.2868
0,20240301,7.5,16.1231,3.06,,2.3209
0,20240304,7.34,10.2485,1.26,,2.2714
0,20240305,7.0,6.4728,0.67,,2.1661
0,20240306,7.04,4.2937,0.4,,2.1785
0,20240307,6.98,3.7307,0.39,,2.16
0,20240308,6.9,3.0184,0.37,,2.1352
0,20240311,7.04,2.7196,0.49,,2.1785
0,20240312,7.13,3.5115,0.87,,2.2064
0,20240313,7.01,2.6785,0.78,,2.1692
0,20240314,6.9,2.2875,0.73,,2.1352
0,20240315,6.96,1.5405,0.54,,2.1538
0,20240318,7.01,2.0311,0.8,,2.1692
0,20240319,7.04,3.2083,1.33,,2.1785
0,20240320,7.1,2.2674,0.97,,2.1971
0,20240321,7.45,6.7948,3.0,,2.3054
0,20240322,7.28,5.5906,1.76,,2.2528
0,20240325,6.9,4.0669,1.02,,2.1352
0,20240326,6.84,2.544,0.58,,2.1166
0,20240327,6.57,2.3328,0.55,,2.0331
0,20240328,6.73,1.8772,0.44,,2.0826
0,20240329,6.91,2.2142,0.67,,2.1383
0,20240401,7.09,1.96,0.75,,2.194
0,20240402,7.1,2.416,1.11,,2.1971
0,20240403,7.12,2.2847,1.06,,2.2033
