,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,6.52,0.8664,1.6,14.064,1.4497
0,20240103,6.55,0.5353,0.83,14.1287,1.4564
0,20240104,6.52,0.4822,0.72,14.064,1.4497
0,20240105,6.43,0.4975,0.73,13.8699,1.4297
0,20240108,6.3,0.4039,0.67,13.5895,1.4008
0,20240109,6.24,0.5045,0.91,13.46,1.3875
0,20240110,6.27,0.4827,1.0,13.5248,1.3942
0,20240111,6.28,0.6885,1.45,13.5463,1.3964
0,20240112,6.07,2.0761,4.66,13.0933,1.3497
0,20240115,6.11,1.8088,2.34,13.1796,1.3586
0,20240116,6.06,1.2319,1.15,13.0718,1.3475
0,20240117,5.92,0.8035,0.66,12.7698,1.3163
0,20240118,5.78,1.0466,0.8,12.4678,1.2852
0,20240119,5.74,0.5386,0.39,12.3815,1.2763
0,20240122,5.38,0.9486,0.87,11.605,1.1963
0,20240123,5.45,0.885,0.97,11.756,1.2118
0,20240124,5.57,0.7865,0.93,12.0148,1.2385
0,20240125,5.73,0.9152,1.09,12.3599,1.2741
0,20240126,5.85,1.2132,1.49,12.6188,1.3008
0,20240129,5.72,0.9838,1.04,12.3384,1.2719
0,20240130,5.52,0.889,0.93,11.907,1.2274
0,20240131,5.34,0.9298,0.97,11.5187,1.1874
0,20240201,5.28,0.9532,0.97,11.3893,1.174
0,20240202,5.05,1.2226,1.23,10.8931,1.1229
0,20240205,4.65,1.6352,1.64,10.0303,1.0339
0,20240206,5.02,1.9105,1.7,10.8284,1.1162
0,20240207,5.28,2.0568,1.55,11.3893,1.174
0,20240208,5.45,1.69,1.09,11.756,1.2118
0,20240219,5.68,1.6675,0.98,12.2521,1.263
0,20240220,5.7,1.2245,0.68,12.2952,1.2674
0,20240221,5.75,1.1908,0.7,12.4031,1.2785
0,20240222,5.69,1.0075,0.64,12.2737,1.2652
0,20240223,5.66,1.1692,0.86,12.209,1.2585
0,20240226,5.66,0.9414,0.75,12.209,1.2585
0,20240227,5.72,0.6888,0.62,12.3384,1.2719
0,20240228,5.58,1.39,1.39,12.0364,1.2407
0,20240229,5.7,0.9833,0.95,12.2952,1.2674
0,20240301,5.68,0.6418,0.62,12.2521,1.263
0,20240304,5.62,0.6999,0.75,12.1227,1.2496
0,20240305,5.56,0.6755,0.77,11.9932,1.2363
0,20240306,5.55,0.6024,0.69,11.9717,1.2341
0,20240307,5.55,1.048,1.45,11.9717,1.2341
0,20240308,5.54,0.5163,0.7,11.9501,1.2318
0,20240311,5.61,0.6982,0.99,12.1011,1.2474
0,20240312,5.67,0.8301,1.17,12.2305,1.2607
0,20240313,5.61,0.6714,0.91,12.1011,1.2474
0,20240314,5.57,0.8111,1.08,12.0148,1.2385
0,20240315,5.64,0.7438,1.05,12.1658,1.2541
0,20240318,5.71,0.9191,1.22,12.3168,1.2696
0,20240319,5.69,0.5082,0.64,12.2737,1.2652
0,20240320,5.73,0.6148,0.84,12.3599,1.2741
0,20240321,5.72,0.5937,0.83,12.3384,1.2719
0,20240322,5.63,0.6926,1.02,12.1442,1.2518
0,20240325,5.57,0.7932,1.19,12.0148,1.2385
0,20240326,5.6,0.7487,1.17,12.0795,1.2452
0,20240327,5.52,0.8328,1.21,11.907,1.2274
0,20240328,5.58,0.7872,1.08,12.0364,1.2407
0,20240329,5.69,0.8252,1.07,12.2737,1.2652
0,20240401,5.9,1.6668,2.09,12.7266,1.3119
0,20240402,5.91,1.0205,1.05,12.7482,1.3141
0,20240403,6.06,1.3572,1.32,13.0718,1.3475
