,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,8.27,2.0043,1.43,18.5324,2.0896
0,20240103,8.4,3.4591,2.25,18.8237,2.1224
0,20240104,8.43,3.4648,1.81,18.8909,2.13
0,20240105,8.3,2.0377,0.86,18.5996,2.0971
0,20240108,8.18,1.8085,0.74,18.3307,2.0668
0,20240109,8.2,1.6633,0.65,18.3755,2.0719
0,20240110,8.03,1.6934,0.68,17.9946,2.0289
0,20240111,8.0,1.5147,0.71,17.9273,2.0213
0,20240112,8.16,2.5995,1.49,18.2859,2.0618
0,20240115,7.93,1.8366,0.99,17.7705,2.0037
0,20240116,7.84,1.3461,0.72,17.5688,1.9809
0,20240117,7.48,1.8559,1.03,16.7621,1.89
0,20240118,7.47,1.7985,0.98,16.7397,1.8874
0,20240119,7.4,1.2532,0.66,16.5828,1.8697
0,20240122,6.94,1.5756,0.97,15.552,1.7535
0,20240123,6.83,3.8219,2.44,15.3055,1.7257
0,20240124,6.77,2.9425,1.43,15.171,1.7106
0,20240125,6.98,1.856,0.81,15.6416,1.7636
0,20240126,7.08,1.6004,0.7,15.8657,1.7889
0,20240129,6.82,1.4155,0.6,15.2831,1.7232
0,20240130,6.65,1.3082,0.56,14.9021,1.6802
0,20240131,6.32,2.1688,1.19,14.1626,1.5969
0,20240201,6.05,2.1633,1.3,13.5575,1.5286
0,20240202,5.75,2.401,1.39,12.8853,1.4528
0,20240205,5.18,2.8819,1.52,11.608,1.3088
0,20240206,5.16,4.0789,1.87,11.5631,1.3038
0,20240207,5.34,5.0861,1.86,11.9665,1.3492
0,20240208,5.74,4.6729,1.41,12.8629,1.4503
0,20240219,5.81,2.8696,0.75,13.0197,1.468
0,20240220,5.9,1.3955,0.36,13.2214,1.4907
0,20240221,5.94,2.1196,0.59,13.311,1.5008
0,20240222,6.08,1.576,0.49,13.6248,1.5362
0,20240223,6.23,1.6917,0.67,13.9609,1.5741
0,20240226,6.37,1.7996,0.93,14.2746,1.6095
0,20240227,6.48,1.1437,0.67,14.5211,1.6373
0,20240228,6.0,2.8094,1.69,13.4455,1.516
0,20240229,6.37,3.079,1.71,14.2746,1.6095
0,20240301,6.37,2.0789,0.99,14.2746,1.6095
0,20240304,6.36,1.6956,0.78,14.2522,1.607
0,20240305,6.2,1.1565,0.54,13.8937,1.5665
0,20240306,6.34,1.1347,0.52,14.2074,1.6019
0,20240307,6.28,1.1689,0.64,14.073,1.5868
0,20240308,6.32,0.8033,0.56,14.1626,1.5969
0,20240311,6.42,1.1159,0.94,14.3867,1.6221
0,20240312,6.46,1.2403,1.15,14.4763,1.6322
0,20240313,6.48,0.9533,0.87,14.5211,1.6373
0,20240314,6.45,1.4495,1.37,14.4539,1.6297
0,20240315,6.59,1.4114,1.27,14.7676,1.6651
0,20240318,6.68,1.6338,1.32,14.9693,1.6878
0,20240319,6.67,1.3596,1.02,14.9469,1.6853
0,20240320,6.73,0.9042,0.66,15.0814,1.7005
0,20240321,6.74,1.165,0.86,15.1038,1.703
0,20240322,6.62,1.2247,0.95,14.8349,1.6727
0,20240325,6.41,1.3103,1.04,14.3643,1.6196
0,20240326,6.48,1.1081,0.93,14.5211,1.6373
0,20240327,6.31,1.342,1.17,14.1402,1.5943
0,20240328,6.94,3.2831,2.67,21.7548,1.6563
0,20240329,7.14,10.6179,6.42,22.3817,1.7041
0,20240401,7.15,6.9342,1.96,22.4131,1.7064
0,20240402,7.05,4.0425,0.87,22.0996,1.6826
0,20240403,7.06,3.1229,0.6,22.1309,1.685
