,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,3.88,1.6301,1.06,,1.8077
0,20240103,3.9,1.3972,0.96,,1.817
0,20240104,3.92,1.4219,0.97,,1.8263
0,20240105,3.86,1.4022,0.97,,1.7984
0,20240108,3.79,1.2896,0.9,,1.7658
0,20240109,3.87,1.7618,1.23,,1.8031
0,20240110,3.93,3.3637,2.31,,1.831
0,20240111,3.94,2.3219,1.26,,1.8357
0,20240112,3.9,1.9419,0.96,,1.817
0,20240115,3.96,2.7805,1.3,,1.845
0,20240116,3.94,2.5709,1.06,,1.8357
0,20240117,3.88,1.9723,0.76,,1.8077
0,20240118,3.84,3.0025,1.3,,1.7891
0,20240119,3.86,2.9896,1.22,,1.7984
0,20240122,3.53,4.2293,1.59,,1.6446
0,20240123,3.41,3.8606,1.31,,1.5887
0,20240124,3.49,3.6674,1.14,,1.626
0,20240125,3.54,2.7469,0.77,,1.6493
0,20240126,3.55,2.3572,0.67,,1.654
0,20240129,3.37,2.9903,0.89,,1.5701
0,20240130,3.2,2.7626,0.88,,1.4909
0,20240131,3.07,2.9529,1.02,,1.4303
0,20240201,2.98,2.9717,1.08,,1.3884
0,20240202,2.75,4.6,1.64,,1.2812
0,20240205,2.48,3.4898,1.07,,1.1554
0,20240206,2.3,6.4674,1.93,,1.0716
0,20240207,2.09,6.4079,1.56,,0.9737
0,20240208,2.25,5.2772,1.1,,1.0483
0,20240219,2.39,5.2947,1.01,,1.1135
0,20240220,2.46,3.6342,0.67,,1.1461
0,20240221,2.53,3.9514,0.73,,1.1787
0,20240222,2.63,3.6625,0.75,,1.2253
0,20240223,2.89,6.1657,1.41,,1.3465
0,20240226,2.83,7.9613,1.75,,1.3185
0,20240227,2.9,4.7882,0.94,,1.3511
0,20240228,2.64,6.1706,1.16,,1.23
0,20240229,2.76,4.0423,0.7,,1.2859
0,20240301,2.75,3.0925,0.53,,1.2812
0,20240304,2.72,2.3653,0.45,,1.2673
0,20240305,2.63,2.3203,0.57,,1.2253
0,20240306,2.71,2.1492,0.6,,1.2626
0,20240307,2.73,2.7245,0.98,,1.2719
0,20240308,2.75,2.2777,0.9,,1.2812
0,20240311,2.78,2.2187,0.94,,1.2952
0,20240312,2.85,2.8129,1.2,,1.3278
0,20240313,2.83,2.3135,0.95,,1.3185
0,20240314,2.8,1.9227,0.78,,1.3045
0,20240315,2.88,2.4386,1.06,,1.3418
0,20240318,2.94,2.7303,1.17,,1.3698
0,20240319,2.94,2.4518,1.0,,1.3698
0,20240320,3.0,2.4979,1.05,,1.3977
0,20240321,3.02,2.6176,1.09,,1.407
0,20240322,2.97,2.5168,0.99,,1.3837
0,20240325,2.88,2.1528,0.84,,1.3418
0,20240326,2.92,2.5096,1.03,,1.3604
0,20240327,2.79,2.3835,0.97,,1.2999
0,20240328,2.86,1.9172,0.79,,1.3325
0,20240329,2.95,2.3659,1.03,,1.3744
0,20240401,2.98,2.12,0.94,,1.3884
0,20240402,3.04,3.2715,1.45,,1.4164
0,20240403,3.0,2.3278,0.97,,1.3977
