,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,9.38,7.378,0.49,18.6796,1.3909
0,20240103,8.98,9.7002,0.74,17.883,1.3316
0,20240104,8.67,7.3211,0.69,17.2656,1.2856
0,20240105,8.39,5.5127,0.62,16.708,1.2441
0,20240108,8.34,3.5132,0.45,16.6085,1.2367
0,20240109,8.42,2.7814,0.42,16.7678,1.2485
0,20240110,8.21,3.4641,0.6,16.3496,1.2174
0,20240111,8.46,4.3506,0.96,16.8474,1.2544
0,20240112,8.48,5.2106,1.33,16.8873,1.2574
0,20240115,8.42,6.1061,1.58,16.7678,1.2485
0,20240116,8.28,4.6413,1.06,16.489,1.2278
0,20240117,8.04,3.4873,0.73,16.011,1.1922
0,20240118,8.0,4.4163,0.93,15.9314,1.1862
0,20240119,7.9,2.2386,0.47,15.7322,1.1714
0,20240122,7.36,4.8352,1.16,14.6569,1.0913
0,20240123,7.41,3.0665,0.78,14.7565,1.0988
0,20240124,7.58,3.7347,1.03,15.095,1.124
0,20240125,7.8,3.975,1.09,15.5331,1.1566
0,20240126,7.87,3.3498,0.94,15.6725,1.167
0,20240129,7.69,2.4342,0.64,15.314,1.1403
0,20240130,7.45,2.0146,0.61,14.8361,1.1047
0,20240131,7.1,2.8191,0.91,14.1391,1.0528
0,20240201,7.0,2.802,0.96,13.94,1.038
0,20240202,6.76,3.7644,1.4,13.462,1.0024
0,20240205,6.11,5.0446,1.82,12.1676,0.906
0,20240206,6.37,3.999,1.22,12.6854,0.9445
0,20240207,6.37,3.5421,0.96,12.6854,0.9445
0,20240208,6.91,4.0475,1.06,13.7607,1.0246
0,20240219,7.17,5.3794,1.32,14.2785,1.0632
0,20240220,7.89,7.8717,1.79,15.7123,1.1699
0,20240221,7.85,11.4676,2.31,15.6327,1.164
0,20240222,7.82,5.7122,0.88,15.5729,1.1596
0,20240223,7.89,5.6617,0.82,15.7123,1.1699
0,20240226,8.03,7.7046,1.07,15.9911,1.1907
0,20240227,8.16,5.4553,0.71,16.25,1.21
0,20240228,7.78,10.8343,1.5,15.4933,1.1536
0,20240229,8.0,6.0245,0.85,15.9314,1.1862
0,20240301,8.15,6.0641,0.85,16.2301,1.2085
0,20240304,8.19,6.4505,0.89,16.3098,1.2144
0,20240305,8.02,4.5569,0.65,15.9712,1.1892
0,20240306,7.95,3.2924,0.49,15.8318,1.1788
0,20240307,7.96,4.2554,0.81,15.8517,1.1803
0,20240308,7.94,2.8739,0.58,15.8119,1.1773
0,20240311,8.1,4.739,1.11,16.1305,1.2011
0,20240312,8.12,3.6555,0.93,16.1704,1.204
0,20240313,8.1,3.9256,1.04,16.1305,1.2011
0,20240314,8.07,3.9894,1.03,16.0708,1.1966
0,20240315,8.12,3.1695,0.83,16.1704,1.204
0,20240318,8.22,4.6984,1.21,16.3695,1.2189
0,20240319,8.14,3.4627,0.89,16.2102,1.207
0,20240320,8.24,4.445,1.15,16.4093,1.2218
0,20240321,8.56,10.3983,2.63,17.0466,1.2693
0,20240322,8.28,6.4198,1.23,16.489,1.2278
0,20240325,8.15,4.313,0.73,16.2301,1.2085
0,20240326,8.14,3.4243,0.59,16.2102,1.207
0,20240327,7.72,3.7309,0.64,15.3738,1.1447
0,20240328,7.88,2.9406,0.52,15.6924,1.1684
0,20240329,7.92,2.3638,0.57,15.7721,1.1744
0,20240401,8.1,2.6177,0.78,16.1305,1.2011
0,20240402,8.18,3.6077,1.2,16.2898,1.2129
0,20240403,8.12,2.3214,0.76,16.1704,1.204
