,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,39.2,0.371,1.99,31.0818,2.1146
0,20240103,38.79,0.4104,1.74,30.7567,2.0925
0,20240104,38.25,0.323,1.09,30.3286,2.0633
0,20240105,38.24,0.3073,0.94,30.3207,2.0628
0,20240108,38.3,0.2826,0.85,30.3682,2.066
0,20240109,38.96,0.3268,0.96,30.8915,2.1016
0,20240110,39.04,0.2306,0.7,30.955,2.1059
0,20240111,39.45,0.2199,0.75,31.2801,2.1281
0,20240112,38.85,0.155,0.57,30.8043,2.0957
0,20240115,38.84,0.1797,0.74,30.7964,2.0952
0,20240116,39.3,0.2592,1.17,31.1611,2.12
0,20240117,38.7,0.2358,1.13,30.6854,2.0876
0,20240118,38.86,0.3789,1.8,30.8123,2.0962
0,20240119,38.35,0.2794,1.16,30.4079,2.0687
0,20240122,37.66,0.3411,1.28,29.8608,2.0315
0,20240123,37.28,0.4241,1.42,29.5595,2.011
0,20240124,37.73,0.3291,0.99,29.9163,2.0353
0,20240125,38.42,0.3282,0.94,30.4634,2.0725
0,20240126,37.86,0.3198,0.94,30.0193,2.0423
0,20240129,36.85,0.2441,0.7,29.2185,1.9878
0,20240130,34.41,0.8087,2.46,27.2838,1.8562
0,20240131,35.22,0.5404,1.33,27.9261,1.8999
0,20240201,34.71,0.3671,0.82,27.5217,1.8724
0,20240202,34.08,0.3871,0.85,27.0222,1.8384
0,20240205,34.38,0.5279,1.13,27.26,1.8546
0,20240206,36.25,0.4262,0.81,28.7428,1.9554
0,20240207,36.84,0.4652,1.03,29.2106,1.9873
0,20240208,37.55,0.3999,0.92,29.7735,2.0256
0,20240219,37.84,0.2969,0.67,30.0035,2.0412
0,20240220,38.27,0.2681,0.63,30.3444,2.0644
0,20240221,39.35,0.4363,1.18,31.2008,2.1227
0,20240222,39.32,0.1967,0.53,31.177,2.121
0,20240223,39.35,0.2343,0.73,31.2008,2.1227
0,20240226,39.18,0.2008,0.7,31.066,2.1135
0,20240227,38.81,0.3436,1.29,30.7726,2.0935
0,20240228,38.0,0.3915,1.39,30.1304,2.0498
0,20240229,38.35,0.3537,1.29,30.4079,2.0687
0,20240301,38.05,0.3356,1.1,30.17,2.0525
0,20240304,37.89,0.2989,0.92,30.0431,2.0439
0,20240305,38.0,0.3405,0.99,30.1304,2.0498
0,20240306,37.6,0.2425,0.7,29.8132,2.0283
0,20240307,37.21,0.2892,0.92,29.504,2.0072
0,20240308,37.34,0.2514,0.83,29.607,2.0142
0,20240311,38.07,0.3412,1.2,30.1859,2.0536
0,20240312,39.21,0.477,1.63,31.0898,2.1151
0,20240313,38.95,0.2835,0.89,30.8836,2.1011
0,20240314,38.69,0.2398,0.73,30.6775,2.0871
0,20240315,38.97,0.1937,0.61,30.8995,2.1022
0,20240318,38.94,0.2545,0.83,30.8757,2.1006
0,20240319,38.51,0.1831,0.63,30.5347,2.0774
0,20240320,39.23,0.3063,1.33,31.1056,2.1162
0,20240321,38.77,0.1853,0.79,30.7409,2.0914
0,20240322,38.04,0.2445,1.09,30.1621,2.052
0,20240325,37.77,0.2003,0.85,29.948,2.0374
0,20240326,37.94,0.2045,0.91,30.0828,2.0466
0,20240327,36.38,1.0836,4.75,21.627,1.9192
0,20240328,36.34,0.5159,1.34,21.6032,1.9171
0,20240329,36.4,0.4319,0.96,21.6389,1.9203
0,20240401,36.52,0.5125,1.05,21.7102,1.9266
0,20240402,35.76,0.5367,0.98,21.2584,1.8865
0,20240403,35.34,0.3722,0.6,21.0088,1.8644
