,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,3.44,1.0193,1.1,,1.9239
0,20240103,3.45,0.9186,0.98,,1.9294
0,20240104,3.44,0.7763,0.84,,1.9239
0,20240105,3.41,1.0756,1.15,,1.9071
0,20240108,3.35,0.9916,1.06,,1.8735
0,20240109,3.36,0.9959,1.04,,1.8791
0,20240110,3.34,0.8665,0.91,,1.8679
0,20240111,3.38,0.7781,0.83,,1.8903
0,20240112,3.37,1.0631,1.13,,1.8847
0,20240115,3.56,9.6455,10.27,,1.991
0,20240116,3.51,7.5165,2.82,,1.963
0,20240117,3.46,6.2847,1.58,,1.935
0,20240118,3.42,5.4323,1.07,,1.9127
0,20240119,3.31,3.6826,0.61,,1.8511
0,20240122,2.99,4.2829,0.66,,1.6722
0,20240123,2.98,3.1444,0.58,,1.6666
0,20240124,3.07,2.6565,0.58,,1.7169
0,20240125,3.22,3.4633,0.9,,1.8008
0,20240126,3.25,2.1024,0.61,,1.8176
0,20240129,3.1,2.5238,0.81,,1.7337
0,20240130,2.98,1.8871,0.68,,1.6666
0,20240131,2.81,3.3705,1.33,,1.5715
0,20240201,2.74,2.4062,0.9,,1.5324
0,20240202,2.62,2.7022,1.1,,1.4653
0,20240205,2.36,3.3198,1.29,,1.3199
0,20240206,2.3,4.0154,1.47,,1.2863
0,20240207,2.21,3.2766,1.04,,1.236
0,20240208,2.41,3.1388,1.0,,1.3478
0,20240219,2.5,2.8235,0.86,,1.3981
0,20240220,2.51,1.9139,0.58,,1.4037
0,20240221,2.57,2.4587,0.81,,1.4373
0,20240222,2.64,1.5957,0.59,,1.4764
0,20240223,2.73,2.0274,0.85,,1.5268
0,20240226,2.75,2.3995,1.11,,1.538
0,20240227,2.8,1.761,0.85,,1.5659
0,20240228,2.6,3.576,1.75,,1.4541
0,20240229,2.7,2.0906,0.92,,1.51
0,20240301,2.7,1.7461,0.74,,1.51
0,20240304,2.69,1.2703,0.55,,1.5044
0,20240305,2.61,1.4146,0.68,,1.4597
0,20240306,2.66,1.5667,0.78,,1.4876
0,20240307,2.93,6.1407,3.8,,1.6386
0,20240308,2.79,6.2694,2.58,,1.5603
0,20240311,2.8,3.606,1.08,,1.5659
0,20240312,2.85,3.5549,0.94,,1.5939
0,20240313,2.81,2.3221,0.55,,1.5715
0,20240314,2.8,1.8491,0.42,,1.5659
0,20240315,2.82,1.5138,0.43,,1.5771
0,20240318,2.89,2.604,1.01,,1.6163
0,20240319,2.95,4.959,2.09,,1.6498
0,20240320,2.97,2.8007,1.06,,1.661
0,20240321,3.01,2.5134,0.92,,1.6834
0,20240322,2.94,2.1029,0.73,,1.6442
0,20240325,2.95,3.1425,1.05,,1.6498
0,20240326,2.89,2.3437,0.76,,1.6163
0,20240327,2.87,2.6564,1.03,,1.6051
0,20240328,3.16,8.1623,3.2,,1.7673
0,20240329,3.05,8.7826,2.39,,1.7057
0,20240401,3.06,4.852,0.97,,1.7113
0,20240402,3.19,8.2693,1.54,,1.784
0,20240403,3.2,8.5398,1.3,,1.7896
