,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,6.76,0.8313,1.04,29.6824,2.6504
0,20240103,6.29,1.548,1.85,27.6187,2.4662
0,20240104,6.15,0.882,0.87,27.0039,2.4113
0,20240105,6.1,0.8923,0.88,26.7844,2.3917
0,20240108,5.85,0.9738,0.93,25.6867,2.2937
0,20240109,5.78,0.9989,0.97,25.3793,2.2662
0,20240110,5.68,0.8409,0.79,24.9402,2.227
0,20240111,5.69,0.9338,1.02,24.9841,2.2309
0,20240112,5.56,0.839,0.9,24.4133,2.18
0,20240115,5.57,0.6802,0.74,24.4572,2.1839
0,20240116,5.52,0.6535,0.76,24.2377,2.1643
0,20240117,5.37,0.7402,0.94,23.579,2.1055
0,20240118,5.38,0.8474,1.1,23.6229,2.1094
0,20240119,5.36,0.692,0.92,23.5351,2.1015
0,20240122,5.01,1.007,1.39,21.9983,1.9643
0,20240123,5.19,1.0879,1.38,22.7887,2.0349
0,20240124,5.17,0.9607,1.1,22.7009,2.027
0,20240125,5.32,0.7479,0.81,23.3595,2.0859
0,20240126,5.18,0.8384,0.93,22.7448,2.031
0,20240129,5.05,0.6657,0.72,22.174,1.98
0,20240130,4.9,0.6801,0.79,21.5153,1.9212
0,20240131,4.75,0.831,1.07,20.8567,1.8624
0,20240201,4.77,0.825,1.1,20.9445,1.8702
0,20240202,4.58,0.9142,1.19,20.1102,1.7957
0,20240205,4.41,1.1314,1.44,19.3638,1.7291
0,20240206,4.85,1.0628,1.21,21.2958,1.9016
0,20240207,5.26,2.1107,2.22,23.096,2.0623
0,20240208,5.26,1.8421,1.52,23.096,2.0623
0,20240219,5.22,1.3505,0.96,22.9204,2.0466
0,20240220,5.17,0.7677,0.51,22.7009,2.027
0,20240221,5.19,1.022,0.72,22.7887,2.0349
0,20240222,5.22,0.8206,0.58,22.9204,2.0466
0,20240223,5.28,0.9433,0.81,23.1839,2.0702
0,20240226,5.42,1.5968,1.63,23.7986,2.1251
0,20240227,5.69,2.0081,1.95,24.9841,2.2309
0,20240228,5.27,2.339,1.83,23.14,2.0662
0,20240229,5.49,1.6751,1.09,24.1059,2.1525
0,20240301,5.58,1.5573,0.91,24.5011,2.1878
0,20240304,5.62,1.7889,0.97,24.6768,2.2035
0,20240305,5.57,1.4423,0.77,24.4572,2.1839
0,20240306,5.6,1.2928,0.73,24.5889,2.1956
0,20240307,5.53,1.7154,1.11,24.2816,2.1682
0,20240308,5.64,1.3003,0.83,24.7646,2.2113
0,20240311,5.67,1.1095,0.74,24.8963,2.2231
0,20240312,5.65,1.1501,0.84,24.8085,2.2152
0,20240313,5.64,1.077,0.82,24.7646,2.2113
0,20240314,5.59,1.2656,1.0,24.545,2.1917
0,20240315,5.69,1.1021,0.93,24.9841,2.2309
0,20240318,5.82,1.5194,1.33,25.5549,2.2819
0,20240319,5.87,1.8515,1.51,25.7745,2.3015
0,20240320,5.84,1.423,1.04,25.6428,2.2897
0,20240321,5.74,1.0578,0.74,25.2037,2.2505
0,20240322,5.64,1.1053,0.79,24.7646,2.2113
0,20240325,5.51,1.0444,0.75,24.1938,2.1603
0,20240326,5.5,0.7559,0.58,24.1499,2.1564
0,20240327,5.24,0.8509,0.79,23.0082,2.0545
0,20240328,5.45,1.0787,1.12,23.9303,2.1368
0,20240329,5.49,0.6145,0.64,24.1059,2.1525
0,20240401,5.62,0.9117,1.05,24.6768,2.2035
0,20240402,5.53,0.7948,0.94,24.2816,2.1682
0,20240403,5.43,0.618,0.73,23.8425,2.129
