,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,3.67,2.3256,1.38,29.5438,3.8403
0,20240103,3.7,1.6593,0.91,29.7853,3.8717
0,20240104,3.66,1.0122,0.57,29.4633,3.8299
0,20240105,3.58,1.1277,0.63,28.8193,3.7462
0,20240108,3.51,0.7937,0.45,28.2558,3.6729
0,20240109,3.5,0.6942,0.5,28.1753,3.6624
0,20240110,3.44,0.7908,0.75,27.6923,3.5997
0,20240111,3.55,0.9597,1.09,28.5778,3.7148
0,20240112,3.43,0.8743,1.0,27.6118,3.5892
0,20240115,3.43,0.6057,0.74,27.6118,3.5892
0,20240116,3.38,0.7757,0.99,27.2093,3.5369
0,20240117,3.29,0.8218,1.03,26.4848,3.4427
0,20240118,3.28,1.281,1.59,26.4043,3.4322
0,20240119,3.25,0.7531,0.86,26.1628,3.4008
0,20240122,3.03,1.2812,1.51,24.3918,3.1706
0,20240123,3.07,1.3351,1.36,24.7138,3.2125
0,20240124,3.27,3.4674,3.17,26.3238,3.4218
0,20240125,3.44,3.6055,2.22,27.6923,3.5997
0,20240126,3.54,3.7118,1.78,28.4973,3.7043
0,20240129,3.4,2.2158,0.83,27.3703,3.5578
0,20240130,3.22,1.7143,0.6,25.9213,3.3694
0,20240131,3.05,1.7572,0.6,24.5528,3.1916
0,20240201,2.98,1.4845,0.57,23.9893,3.1183
0,20240202,2.79,2.4294,1.12,22.4597,2.9195
0,20240205,2.51,2.3196,1.21,20.2057,2.6265
0,20240206,2.6,1.6745,0.86,20.9302,2.7207
0,20240207,2.71,1.8044,0.93,21.8157,2.8358
0,20240208,2.85,1.7165,0.88,22.9427,2.9823
0,20240219,2.91,1.3461,0.68,23.4258,3.0451
0,20240220,2.92,0.8652,0.49,23.5063,3.0555
0,20240221,2.93,1.05,0.71,23.5868,3.066
0,20240222,2.96,0.8777,0.65,23.8283,3.0974
0,20240223,3.05,1.2994,1.11,24.5528,3.1916
0,20240226,3.19,1.7796,1.64,25.6798,3.3381
0,20240227,3.26,0.7155,1.09,26.2433,3.4113
0,20240228,3.02,0.9284,1.32,24.3113,3.1602
0,20240229,3.14,0.7155,0.93,25.2773,3.2857
0,20240301,3.15,0.5288,0.65,25.3578,3.2962
0,20240304,3.11,0.4589,0.59,25.0358,3.2543
0,20240305,3.13,0.5725,0.86,25.1968,3.2753
0,20240306,3.1,0.3879,0.61,24.9553,3.2439
0,20240307,3.07,0.4345,0.82,24.7138,3.2125
0,20240308,3.12,0.3435,0.72,25.1163,3.2648
0,20240311,3.13,0.3751,0.85,25.1968,3.2753
0,20240312,3.2,0.6597,1.56,25.7603,3.3485
0,20240313,3.21,0.4807,1.09,25.8408,3.359
0,20240314,3.16,0.4721,1.03,25.4383,3.3067
0,20240315,3.2,0.3535,0.76,25.7603,3.3485
0,20240318,3.25,0.4581,0.98,26.1628,3.4008
0,20240319,3.23,0.3528,0.73,26.0018,3.3799
0,20240320,3.26,0.4419,1.04,26.2433,3.4113
0,20240321,3.25,0.3901,0.94,26.1628,3.4008
0,20240322,3.28,1.2129,3.04,26.4043,3.4322
0,20240325,3.46,2.5797,4.52,27.8533,3.6206
0,20240326,3.48,1.9955,2.0,28.0143,3.6415
0,20240327,3.23,1.3728,1.04,26.0018,3.3799
0,20240328,3.26,1.1571,0.77,26.2433,3.4113
0,20240329,3.34,1.1299,0.68,26.8873,3.495
0,20240401,3.43,1.4349,0.87,227.182,3.5567
0,20240402,3.41,1.486,1.05,225.8573,3.5359
0,20240403,3.28,0.9612,0.73,217.2469,3.4011
