,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,3.46,0.4155,1.5,23.9826,0.5428
0,20240103,3.49,0.4593,1.51,24.1905,0.5475
0,20240104,3.48,0.3616,1.03,24.1212,0.546
0,20240105,3.48,0.3787,1.01,24.1212,0.546
0,20240108,3.39,0.4169,1.04,23.4974,0.5319
0,20240109,3.41,0.339,0.83,23.636,0.535
0,20240110,3.38,0.2229,0.57,23.428,0.5303
0,20240111,3.38,0.2912,0.85,23.428,0.5303
0,20240112,3.36,0.2769,0.84,23.2894,0.5272
0,20240115,3.34,0.3219,1.04,23.1508,0.524
0,20240116,3.31,0.3658,1.26,22.9428,0.5193
0,20240117,3.24,0.2689,0.91,22.4577,0.5083
0,20240118,3.15,0.6621,2.17,21.8338,0.4942
0,20240119,3.16,0.4958,1.31,21.9031,0.4958
0,20240122,3.02,0.3861,0.91,20.9327,0.4738
0,20240123,3.05,0.441,1.01,21.1407,0.4785
0,20240124,3.14,0.5276,1.17,21.7645,0.4926
0,20240125,3.27,0.5434,1.08,22.6656,0.513
0,20240126,3.34,0.4135,0.86,23.1508,0.524
0,20240129,3.32,0.4284,0.93,23.0122,0.5209
0,20240130,3.27,0.466,0.99,22.6656,0.513
0,20240131,3.19,0.4715,0.99,22.1111,0.5005
0,20240201,3.16,0.4839,1.04,21.9031,0.4958
0,20240202,3.1,0.547,1.21,21.4873,0.4864
0,20240205,3.01,0.7607,1.59,20.8634,0.4722
0,20240206,3.19,0.8524,1.56,22.1111,0.5005
0,20240207,3.28,0.9631,1.55,22.7349,0.5146
0,20240208,3.35,0.9181,1.27,23.2201,0.5256
0,20240219,3.33,0.6659,0.82,23.0815,0.5224
0,20240220,3.34,0.3853,0.46,23.1508,0.524
0,20240221,3.36,0.4922,0.65,23.2894,0.5272
0,20240222,3.36,0.3434,0.5,23.2894,0.5272
0,20240223,3.34,0.3272,0.58,23.1508,0.524
0,20240226,3.32,0.4836,1.09,23.0122,0.5209
0,20240227,3.33,0.3601,0.89,23.0815,0.5224
0,20240228,3.3,0.605,1.51,22.8735,0.5177
0,20240229,3.31,0.4799,1.13,22.9428,0.5193
0,20240301,3.29,0.5299,1.17,22.8042,0.5162
0,20240304,3.21,0.6408,1.3,22.2497,0.5036
0,20240305,3.18,0.4415,0.84,22.0418,0.4989
0,20240306,3.21,0.3866,0.72,22.2497,0.5036
0,20240307,3.27,0.562,1.13,22.6656,0.513
0,20240308,3.27,0.3039,0.59,22.6656,0.513
0,20240311,3.27,0.4492,0.96,22.6656,0.513
0,20240312,3.25,0.3847,0.9,22.527,0.5099
0,20240313,3.22,0.282,0.68,22.319,0.5052
0,20240314,3.22,0.3579,0.9,22.319,0.5052
0,20240315,3.28,0.5671,1.6,22.7349,0.5146
0,20240318,3.29,0.5522,1.35,22.8042,0.5162
0,20240319,3.3,0.5588,1.3,22.8735,0.5177
0,20240320,3.28,0.3511,0.76,22.7349,0.5146
0,20240321,3.26,0.4006,0.84,22.5963,0.5115
0,20240322,3.21,0.4543,0.93,22.2497,0.5036
0,20240325,3.22,0.4153,0.9,22.319,0.5052
0,20240326,3.22,0.4066,0.93,22.319,0.5052
0,20240327,3.17,0.3149,0.78,21.9725,0.4973
0,20240328,3.15,0.4037,1.01,21.8338,0.4942
0,20240329,3.2,0.3874,0.97,22.1804,0.5021
0,20240401,3.25,0.5057,1.31,22.527,0.5099
0,20240402,3.32,0.7336,1.82,23.0122,0.5209
0,20240403,3.36,0.7144,1.52,23.2894,0.5272
