,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,1.75,0.3494,1.12,23.4981,0.9039
0,20240103,1.77,0.3827,1.15,23.7667,0.9142
0,20240104,1.75,0.3504,0.97,23.4981,0.9039
0,20240105,1.74,0.3949,1.08,23.3639,0.8987
0,20240108,1.71,0.3193,0.85,22.961,0.8832
0,20240109,1.74,0.4832,1.34,23.3639,0.8987
0,20240110,1.74,0.2946,0.76,23.3639,0.8987
0,20240111,1.77,0.4805,1.3,23.7667,0.9142
0,20240112,1.78,0.559,1.42,23.901,0.9194
0,20240115,1.8,0.4745,1.11,24.1695,0.9297
0,20240116,1.78,0.7284,1.59,23.901,0.9194
0,20240117,1.71,0.5846,1.15,22.961,0.8832
0,20240118,1.7,0.6878,1.22,22.8268,0.878
0,20240119,1.69,0.3406,0.56,22.6925,0.8729
0,20240122,1.61,0.6637,1.18,21.6183,0.8316
0,20240123,1.63,0.4968,0.83,21.8868,0.8419
0,20240124,1.7,0.763,1.38,22.8268,0.878
0,20240125,1.77,0.8612,1.46,23.7667,0.9142
0,20240126,1.82,1.1506,1.84,24.4381,0.94
0,20240129,1.79,1.2738,1.62,24.0352,0.9245
0,20240130,1.72,0.9013,0.99,23.0953,0.8884
0,20240131,1.65,0.9391,0.95,22.1554,0.8522
0,20240201,1.61,0.8552,0.83,21.6183,0.8316
0,20240202,1.56,1.2262,1.2,20.9469,0.8057
0,20240205,1.41,1.2938,1.25,18.9328,0.7283
0,20240206,1.4,1.3049,1.25,18.7985,0.7231
0,20240207,1.36,1.1729,1.04,18.2614,0.7024
0,20240208,1.45,1.3577,1.16,19.4699,0.7489
0,20240219,1.49,1.0181,0.8,20.007,0.7696
0,20240220,1.49,0.5951,0.48,20.007,0.7696
0,20240221,1.53,0.9408,0.86,20.5441,0.7902
0,20240222,1.53,0.7166,0.7,20.5441,0.7902
0,20240223,1.55,0.61,0.66,20.8126,0.8006
0,20240226,1.56,0.8128,1.05,20.9469,0.8057
0,20240227,1.61,0.9021,1.23,21.6183,0.8316
0,20240228,1.53,1.1198,1.41,20.5441,0.7902
0,20240229,1.56,0.8682,1.04,20.9469,0.8057
0,20240301,1.55,0.6338,0.73,20.8126,0.8006
0,20240304,1.52,0.6672,0.77,20.4098,0.7851
0,20240305,1.48,0.5705,0.68,19.8727,0.7644
0,20240306,1.5,0.6422,0.83,20.1413,0.7747
0,20240307,1.5,0.6291,0.93,20.1413,0.7747
0,20240308,1.51,0.437,0.7,20.2755,0.7799
0,20240311,1.53,0.4535,0.77,20.5441,0.7902
0,20240312,1.58,0.9351,1.71,21.2155,0.8161
0,20240313,1.54,0.5528,0.89,20.6784,0.7954
0,20240314,1.54,0.4246,0.71,20.6784,0.7954
0,20240315,1.57,0.4951,0.88,21.0812,0.8109
0,20240318,1.57,0.4644,0.81,21.0812,0.8109
0,20240319,1.56,0.4981,0.87,20.9469,0.8057
0,20240320,1.58,0.5469,1.12,21.2155,0.8161
0,20240321,1.58,0.5041,1.04,21.2155,0.8161
0,20240322,1.54,0.5681,1.13,20.6784,0.7954
0,20240325,1.55,0.7591,1.47,20.8126,0.8006
0,20240326,1.58,0.7002,1.22,21.2155,0.8161
0,20240327,1.52,0.6262,1.02,20.4098,0.7851
0,20240328,1.55,0.5404,0.86,20.8126,0.8006
0,20240329,1.55,0.2736,0.43,20.8126,0.8006
0,20240401,1.57,0.4874,0.84,21.0812,0.8109
0,20240402,1.57,0.6966,1.33,21.0812,0.8109
0,20240403,1.56,0.4363,0.83,20.9469,0.8057
