,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,24.41,1.0619,1.37,21.9664,2.8296
0,20240103,24.43,0.7533,0.85,21.9844,2.8319
0,20240104,24.56,0.6512,0.69,22.1014,2.847
0,20240105,24.19,0.4616,0.51,21.7685,2.8041
0,20240108,23.45,0.8028,1.04,21.1025,2.7183
0,20240109,23.4,1.078,1.44,21.0575,2.7125
0,20240110,23.4,0.7618,1.02,21.0575,2.7125
0,20240111,23.43,0.5863,0.78,21.0845,2.716
0,20240112,22.93,0.6424,0.87,20.6346,2.658
0,20240115,22.89,0.9385,1.21,20.5986,2.6534
0,20240116,22.89,0.6868,0.86,20.5986,2.6534
0,20240117,22.52,0.499,0.69,20.2656,2.6105
0,20240118,22.57,1.1758,1.75,20.3106,2.6163
0,20240119,22.79,0.9315,1.18,20.5086,2.6418
0,20240122,21.85,1.0248,1.21,19.6627,2.5328
0,20240123,22.03,1.0672,1.24,19.8247,2.5537
0,20240124,22.21,0.9706,1.03,19.9867,2.5746
0,20240125,22.79,0.8661,0.84,20.5086,2.6418
0,20240126,22.42,0.8499,0.87,20.1756,2.5989
0,20240129,23.45,2.2472,2.35,21.1025,2.7183
0,20240130,22.35,1.2212,1.02,20.1127,2.5908
0,20240131,21.45,1.0112,0.82,19.3027,2.4865
0,20240201,21.53,1.4464,1.17,19.3747,2.4957
0,20240202,21.01,1.1337,0.84,18.9068,2.4355
0,20240205,21.41,1.5374,1.09,19.2668,2.4818
0,20240206,22.54,1.624,1.28,20.2836,2.6128
0,20240207,23.32,1.4647,1.08,20.9856,2.7032
0,20240208,23.07,1.5415,1.07,20.7606,2.6743
0,20240219,22.95,1.1537,0.79,20.6526,2.6603
0,20240220,23.8,1.4971,1.02,21.4175,2.7589
0,20240221,23.43,1.3406,0.92,21.0845,2.716
0,20240222,23.38,0.9117,0.65,21.0395,2.7102
0,20240223,23.39,0.6647,0.52,21.0485,2.7113
0,20240226,23.34,0.6653,0.6,21.0035,2.7056
0,20240227,23.5,0.7261,0.71,21.1475,2.7241
0,20240228,22.88,1.1711,1.36,20.5896,2.6522
0,20240229,23.4,0.9333,1.13,21.0575,2.7125
0,20240301,23.68,0.8592,1.03,21.3095,2.745
0,20240304,23.9,0.9449,1.08,21.5075,2.7705
0,20240305,23.53,1.3602,1.47,21.1745,2.7276
0,20240306,23.26,0.6487,0.62,20.9316,2.6963
0,20240307,22.8,0.9262,0.98,20.5176,2.643
0,20240308,23.04,0.7448,0.79,20.7336,2.6708
0,20240311,23.56,0.8459,0.91,21.2015,2.7311
0,20240312,23.69,1.9851,2.19,21.3185,2.7461
0,20240313,23.41,0.788,0.76,21.0665,2.7137
0,20240314,23.16,0.9483,0.9,20.8416,2.6847
0,20240315,23.32,1.0476,0.99,20.9856,2.7032
0,20240318,23.25,1.359,1.21,20.9226,2.6951
0,20240319,23.09,0.9201,0.75,20.7786,2.6766
0,20240320,23.05,0.8088,0.8,20.7426,2.6719
0,20240321,22.92,0.5925,0.58,20.6256,2.6569
0,20240322,22.41,1.0398,1.1,20.1666,2.5977
0,20240325,22.02,0.9141,0.97,19.8157,2.5525
0,20240326,22.09,0.7452,0.87,19.8787,2.5607
0,20240327,21.94,0.7948,0.97,19.7437,2.5433
0,20240328,22.18,0.8405,1.03,19.9597,2.5711
0,20240329,22.2,0.6404,0.74,19.9777,2.5734
0,20240401,22.26,1.8619,2.37,20.0317,2.5804
0,20240402,22.28,0.8979,0.92,20.0497,2.5827
0,20240403,23.05,2.5647,2.55,20.7426,2.6719
