,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,49.69,11.9889,0.67,87.9328,8.7829
0,20240103,47.4,13.4424,0.73,83.8804,8.3781
0,20240104,45.3,15.6476,0.81,80.1641,8.007
0,20240105,44.78,11.7374,0.66,79.2439,7.9151
0,20240108,43.88,6.9387,0.47,77.6513,7.756
0,20240109,44.61,13.0973,1.1,78.9431,7.885
0,20240110,44.7,15.5961,1.28,79.1024,7.9009
0,20240111,49.17,12.21,0.97,87.0126,8.691
0,20240112,45.21,30.732,2.58,80.0049,7.9911
0,20240115,49.73,32.2608,2.05,88.0036,8.79
0,20240116,50.5,28.6979,1.38,89.3662,8.9261
0,20240117,48.4,17.6426,0.74,85.65,8.5549
0,20240118,51.9,29.0996,1.2,91.8437,9.1735
0,20240119,50.83,23.654,0.85,89.9502,8.9844
0,20240122,46.6,21.8105,0.83,82.4647,8.2367
0,20240123,46.8,18.1709,0.75,82.8186,8.2721
0,20240124,45.62,19.0921,0.86,80.7304,8.0635
0,20240125,46.99,21.6992,0.97,83.1548,8.3057
0,20240126,43.09,21.2808,1.02,76.2533,7.6163
0,20240129,39.55,16.6773,0.82,69.9888,6.9906
0,20240130,38.49,12.0063,0.62,68.113,6.8033
0,20240131,37.87,13.3092,0.73,67.0158,6.6937
0,20240201,38.5,14.6003,0.86,68.1307,6.805
0,20240202,36.41,15.4467,0.99,64.4321,6.4356
0,20240205,33.71,13.5339,0.94,59.6542,5.9584
0,20240206,36.35,18.5212,1.34,64.326,6.425
0,20240207,35.55,19.7408,1.31,62.9103,6.2836
0,20240208,39.11,16.4669,1.01,69.2101,6.9129
0,20240219,43.02,1.8903,0.11,76.1294,7.604
0,20240220,47.32,0.6756,0.05,83.7388,8.364
0,20240221,49.98,41.7609,3.64,88.446,8.8342
0,20240222,54.98,32.4638,2.02,97.2941,9.7179
0,20240223,60.48,26.3458,1.41,107.0271,10.6901
0,20240226,63.3,35.4833,1.72,112.0174,11.1885
0,20240227,69.63,31.6217,1.16,123.2192,12.3074
0,20240228,67.1,38.0123,1.13,118.742,11.8602
0,20240229,73.81,41.6051,1.27,130.6162,13.0462
0,20240301,73.0,30.2788,0.87,129.1828,12.9031
0,20240304,80.3,28.8462,0.81,142.1011,14.1934
0,20240305,88.33,35.444,1.04,156.3112,15.6127
0,20240306,90.02,32.9352,0.95,159.3019,15.9114
0,20240307,85.6,31.7304,0.94,151.4801,15.1302
0,20240308,85.0,26.8714,0.84,150.4184,15.0241
0,20240311,88.5,29.386,0.94,156.6121,15.6427
0,20240312,85.24,25.4701,0.81,150.8431,14.2374
0,20240313,83.7,26.3467,0.9,148.1178,13.9802
0,20240314,82.45,22.6849,0.81,145.9058,13.7714
0,20240315,83.52,23.5711,0.9,147.7993,13.9501
0,20240318,87.0,31.6302,1.24,153.9576,14.5313
0,20240319,89.0,42.5581,1.64,157.4969,14.8654
0,20240320,88.65,24.1249,0.82,156.8775,14.8069
0,20240321,84.73,23.3906,0.81,149.9406,14.1522
0,20240322,85.0,20.4086,0.7,150.4184,14.1973
0,20240325,86.0,30.1371,1.06,152.188,14.3643
0,20240326,88.9,35.3127,1.26,85.5821,14.8627
0,20240327,80.01,19.8843,0.75,77.0239,13.3764
0,20240328,78.6,29.2131,1.13,75.6665,13.1407
0,20240329,76.06,23.451,0.87,73.2213,12.716
0,20240401,76.5,16.2394,0.59,73.6449,12.7896
0,20240402,72.46,17.8304,0.72,69.7556,12.1142
0,20240403,73.0,16.4041,0.77,70.2755,12.2044
