,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,21.22,0.5935,0.99,12.5934,1.6867
0,20240103,21.18,0.3813,0.66,12.5696,1.6835
0,20240104,21.32,0.6012,1.06,12.6527,1.6946
0,20240105,20.93,0.4057,0.69,12.4213,1.6636
0,20240108,20.3,0.552,1.07,12.0474,1.6135
0,20240109,19.88,0.9582,1.89,11.7981,1.5802
0,20240110,19.77,0.6371,1.1,11.7329,1.5714
0,20240111,19.21,1.1507,1.82,11.4005,1.5269
0,20240112,19.12,0.9424,1.27,11.3471,1.5197
0,20240115,18.82,0.977,1.15,11.1691,1.4959
0,20240116,18.88,0.8683,0.93,11.2047,1.5007
0,20240117,18.28,0.6408,0.7,10.8486,1.453
0,20240118,18.39,0.825,0.9,10.9139,1.4617
0,20240119,18.09,0.5589,0.66,10.7358,1.4379
0,20240122,16.82,1.3105,1.69,9.9821,1.3369
0,20240123,17.03,0.827,0.98,10.1068,1.3536
0,20240124,17.36,0.7623,0.92,10.3026,1.3799
0,20240125,18.09,0.8035,0.94,10.7358,1.4379
0,20240126,18.03,0.6381,0.75,10.7002,1.4331
0,20240129,17.63,0.808,0.93,10.4628,1.4013
0,20240130,17.19,0.5971,0.78,10.2017,1.3663
0,20240131,16.43,1.1681,1.62,9.7507,1.3059
0,20240201,16.22,0.987,1.23,9.626,1.2892
0,20240202,15.6,1.3478,1.61,9.2581,1.24
0,20240205,14.71,1.9893,2.03,8.7299,1.1692
0,20240206,16.18,1.3026,1.07,9.6023,1.2861
0,20240207,17.0,1.962,1.44,10.089,1.3512
0,20240208,16.92,2.0299,1.34,10.0415,1.3449
0,20240219,16.87,1.5241,0.88,10.0118,1.3409
0,20240220,16.84,0.9115,0.52,9.994,1.3385
0,20240221,17.4,1.3678,0.88,10.3263,1.383
0,20240222,17.26,0.8094,0.52,10.2433,1.3719
0,20240223,17.43,0.898,0.68,10.3441,1.3854
0,20240226,17.51,0.7765,0.7,10.3916,1.3918
0,20240227,17.82,0.734,0.77,10.5756,1.4164
0,20240228,16.99,1.2348,1.35,10.083,1.3504
0,20240229,17.6,1.7571,1.97,10.445,1.3989
0,20240301,17.34,0.7466,0.69,10.2907,1.3783
0,20240304,17.23,0.63,0.6,10.2255,1.3695
0,20240305,16.99,0.6699,0.66,10.083,1.3504
0,20240306,16.96,0.6892,0.68,10.0652,1.3481
0,20240307,16.57,0.8084,0.9,9.8338,1.3171
0,20240308,16.68,0.7583,1.07,9.899,1.3258
0,20240311,17.09,0.6538,0.92,10.1424,1.3584
0,20240312,17.57,0.9572,1.34,10.4272,1.3965
0,20240313,17.94,1.2038,1.56,10.6468,1.426
0,20240314,17.89,1.2765,1.46,10.6171,1.422
0,20240315,17.79,0.7278,0.75,10.5578,1.414
0,20240318,17.59,1.0793,1.12,10.4391,1.3981
0,20240319,17.41,0.7026,0.67,10.3323,1.3838
0,20240320,17.09,1.0231,1.03,10.1424,1.3584
0,20240321,16.95,0.8558,0.89,10.0593,1.3473
0,20240322,15.77,2.3831,2.72,9.359,1.2535
0,20240325,15.64,1.8095,1.5,9.2818,1.2431
0,20240326,15.79,1.0202,0.75,9.3709,1.2551
0,20240327,15.05,1.0482,0.74,8.9317,1.1962
0,20240328,15.11,1.1552,0.81,8.9673,1.201
0,20240329,14.95,1.5323,1.03,8.8723,1.1883
0,20240401,16.45,2.2771,1.73,9.6249,1.2748
0,20240402,16.93,5.0266,3.57,9.9057,1.312
0,20240403,17.43,3.6703,1.66,10.1983,1.3507
