,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,13.0,16.779,1.05,161.4286,1.4255
0,20240103,13.3,14.6393,0.87,165.1538,1.4584
0,20240104,12.71,9.3486,0.53,157.8275,1.3937
0,20240105,11.45,11.185,0.64,142.1813,1.2556
0,20240108,10.64,8.7652,0.6,132.1231,1.1668
0,20240109,10.76,5.4691,0.45,133.6132,1.1799
0,20240110,10.22,5.4361,0.55,126.9077,1.1207
0,20240111,10.64,4.8091,0.6,132.1231,1.1668
0,20240112,10.29,4.0308,0.57,127.7769,1.1284
0,20240115,10.23,2.766,0.49,127.0319,1.1218
0,20240116,9.99,4.4396,0.99,124.0516,1.0955
0,20240117,9.93,3.6774,0.86,123.3066,1.0889
0,20240118,10.49,9.0717,2.3,130.2604,1.1503
0,20240119,10.15,4.646,0.97,126.0384,1.113
0,20240122,9.48,4.2704,0.87,117.7187,1.0395
0,20240123,9.59,3.5575,0.68,119.0846,1.0516
0,20240124,9.91,5.0847,1.01,123.0582,1.0867
0,20240125,10.48,7.4672,1.4,130.1362,1.1492
0,20240126,10.65,7.356,1.47,132.2472,1.1678
0,20240129,9.97,4.9941,0.9,123.8033,1.0933
0,20240130,9.45,3.6716,0.65,117.3461,1.0363
0,20240131,8.91,3.5452,0.62,110.6406,0.977
0,20240201,8.81,3.0272,0.56,109.3989,0.9661
0,20240202,8.4,3.4766,0.77,104.3077,0.9211
0,20240205,7.56,3.2085,0.86,93.8769,0.829
0,20240206,7.25,6.1799,1.83,90.0275,0.795
0,20240207,6.91,4.7877,1.23,85.8055,0.7577
0,20240208,7.49,4.4537,1.08,93.0077,0.8213
0,20240219,8.02,5.0377,1.14,99.589,0.8794
0,20240220,8.28,4.2055,0.89,102.8176,0.908
0,20240221,8.33,4.3934,0.89,103.4384,0.9134
0,20240222,8.71,4.5619,1.0,108.1571,0.9551
0,20240223,9.13,4.7273,1.04,113.3725,1.0012
0,20240226,9.19,4.9693,1.08,114.1176,1.0077
0,20240227,9.56,4.3645,0.95,118.7121,1.0483
0,20240228,8.73,6.2093,1.35,108.4055,0.9573
0,20240229,9.15,4.3498,0.88,113.6209,1.0034
0,20240301,9.3,3.7121,0.75,115.4835,1.0198
0,20240304,9.61,5.175,1.1,119.333,1.0538
0,20240305,9.3,4.5516,0.96,115.4835,1.0198
0,20240306,9.38,3.3288,0.69,116.4769,1.0286
0,20240307,9.13,3.1247,0.74,113.3725,1.0012
0,20240308,9.38,3.1023,0.78,116.4769,1.0286
0,20240311,9.4,2.6917,0.7,116.7253,1.0308
0,20240312,9.51,2.9046,0.86,118.0912,1.0428
0,20240313,9.53,3.0749,1.01,118.3395,1.045
0,20240314,9.68,4.4135,1.48,120.2022,1.0615
0,20240315,9.61,3.4246,1.06,119.333,1.0538
0,20240318,9.85,3.7579,1.14,122.3132,1.0801
0,20240319,10.0,7.3105,2.08,124.1758,1.0966
0,20240320,9.98,5.2633,1.2,123.9275,1.0944
0,20240321,9.96,4.5632,0.94,123.6791,1.0922
0,20240322,10.49,10.4994,2.16,130.2604,1.1503
0,20240325,11.54,15.7633,2.51,143.2989,1.2654
0,20240326,12.0,25.8627,2.98,149.011,1.3159
0,20240327,10.8,15.4173,1.24,134.1099,1.1843
0,20240328,11.47,15.2618,1.06,142.4297,1.2578
0,20240329,12.0,17.1418,1.04,149.011,1.3159
0,20240401,12.11,16.614,0.93,150.3769,1.3279
0,20240402,11.58,9.9242,0.55,143.7956,1.2698
0,20240403,11.01,6.6882,0.45,136.7176,1.2073
